idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms
0,1,3.361057,0.361057,3.000000,196,pair=UAV1↔UAV2; OK,0.045219,0.168490,1.000000,0.095667,1.000000,0.051681,1.000000
1,1,3.264298,0.264298,3.000000,196,pair=UAV1↔UAV3; OK,0.028085,0.061160,1.000000,0.134573,1.000000,0.040480,1.000000
2,1,3.194471,0.194471,3.000000,196,pair=UAV1↔UAV4; OK,0.024258,0.064707,1.000000,0.067422,1.000000,0.038084,1.000000
3,1,3.177367,0.177367,3.000000,196,pair=UAV1↔UAV5; OK,0.023426,0.052723,1.000000,0.065478,1.000000,0.035740,1.000000
4,1,3.207975,0.207975,3.000000,196,pair=UAV2↔UAV3; OK,0.022123,0.075377,1.000000,0.059937,1.000000,0.050538,1.000000
5,1,3.178820,0.178820,3.000000,196,pair=UAV2↔UAV4; OK,0.023205,0.063084,1.000000,0.056801,1.000000,0.035730,1.000000
6,1,3.175153,0.175153,3.000000,196,pair=UAV2↔UAV5; OK,0.021472,0.062402,1.000000,0.054507,1.000000,0.036772,1.000000
7,1,3.178601,0.178601,3.000000,196,pair=UAV3↔UAV4; OK,0.021553,0.059757,1.000000,0.056321,1.000000,0.040970,1.000000
8,1,3.166566,0.166566,3.000000,196,pair=UAV3↔UAV5; OK,0.023566,0.051501,1.000000,0.054888,1.000000,0.036611,1.000000
9,1,3.167318,0.167318,3.000000,196,pair=UAV4↔UAV5; OK,0.022304,0.056050,1.000000,0.056150,1.000000,0.032814,1.000000
