idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_crypto_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms
0,1,20.587029,0.587029,20.000000,210,OK; bch_bitflips=2,0.023726,0.033926,5.000000,0.008206,5.000000,0.343633,0.014459,0.064807,0.426115,0.078594,5.000000,0.019678,5.000000
1,1,20.479187,0.479187,20.000000,210,OK; bch_bitflips=2,0.007805,0.016863,5.000000,0.005360,5.000000,0.332972,0.012123,0.035089,0.383091,0.051541,5.000000,0.017434,5.000000
2,1,20.431474,0.431474,20.000000,210,OK; bch_bitflips=2,0.006653,0.013687,5.000000,0.005060,5.000000,0.312622,0.009258,0.021773,0.345296,0.045348,5.000000,0.017073,5.000000
3,1,20.413230,0.413230,20.000000,210,OK; bch_bitflips=0,0.006292,0.012946,5.000000,0.005069,5.000000,0.304607,0.003076,0.021683,0.330938,0.043245,5.000000,0.016312,5.000000
4,1,20.433138,0.433138,20.000000,210,OK; bch_bitflips=2,0.006092,0.012464,5.000000,0.005481,5.000000,0.318023,0.010420,0.021472,0.351779,0.043345,5.000000,0.015841,5.000000
5,1,20.416445,0.416445,20.000000,210,OK; bch_bitflips=1,0.006021,0.012444,5.000000,0.004900,5.000000,0.302523,0.008967,0.020951,0.334035,0.044477,5.000000,0.016162,5.000000
6,1,20.428861,0.428861,20.000000,210,OK; bch_bitflips=0,0.006643,0.013096,5.000000,0.005250,5.000000,0.318594,0.003156,0.022054,0.345417,0.043846,5.000000,0.016222,5.000000
7,1,20.418848,0.418848,20.000000,210,OK; bch_bitflips=1,0.005921,0.012545,5.000000,0.004789,5.000000,0.300709,0.008376,0.020690,0.331309,0.048074,5.000000,0.017744,5.000000
8,1,20.420594,0.420594,20.000000,210,OK; bch_bitflips=0,0.006443,0.012725,5.000000,0.004980,5.000000,0.312312,0.003196,0.021071,0.338123,0.043685,5.000000,0.016182,5.000000
9,1,20.416574,0.416574,20.000000,210,OK; bch_bitflips=1,0.006051,0.012745,5.000000,0.005290,5.000000,0.303344,0.008837,0.020610,0.334385,0.043265,5.000000,0.016432,5.000000
