idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
0,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,0,rsa2048,1,1.419876,3.24534,0.703512,2.3841,0.058187,0.01659,0.056474,0.364277,703,330,325,24,24
1,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,1,rsa2048,1,1.40047,2.506104,0.707386,1.938754,0.057366,0.011732,0.0166,0.235192,703,330,325,24,24
2,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,2,rsa2048,1,1.373585,2.468897,0.678801,1.880728,0.056163,0.011511,0.028923,0.235081,703,330,325,24,24
3,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,3,rsa2048,1,1.395154,2.441176,0.685433,1.861623,0.056464,0.011441,0.015849,0.244318,703,330,325,24,24
4,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,4,rsa2048,1,1.439213,2.4496,0.732542,1.886268,0.056694,0.011402,0.01647,0.2349,703,330,325,24,24
5,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,5,rsa2048,1,1.387226,2.471029,0.701233,1.905793,0.057005,0.01173,0.01668,0.23503,703,330,325,24,24
6,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,6,rsa2048,1,1.410177,2.482992,0.709557,1.882902,0.056964,0.011391,0.015799,0.252662,703,330,325,24,24
7,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,7,rsa2048,1,1.383066,2.606728,0.676895,1.906715,0.089213,0.011883,0.022632,0.257432,703,330,325,24,24
8,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,8,rsa2048,1,1.442465,2.48209,0.689708,1.910682,0.058768,0.011411,0.016931,0.235732,703,330,325,24,24
9,BaselineRSA-0-20260810-16:20:00-769471,BaselineRSA,0,0,0,9,rsa2048,1,1.40048,2.746385,0.701856,2.078891,0.086388,0.012252,0.028252,0.242464,703,330,325,24,24
10,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,0,rsa2048,1,1.384817,2.561206,0.681807,1.928415,0.057115,0.012051,0.025297,0.259836,703,330,325,24,24
11,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,1,rsa2048,1,1.397648,2.419807,0.682113,1.857024,0.056554,0.011601,0.01641,0.233789,703,330,325,24,24
12,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,2,rsa2048,1,1.412723,2.436137,0.714559,1.873505,0.056584,0.011422,0.01648,0.234089,703,330,325,24,24
13,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,3,rsa2048,1,1.393817,2.445592,0.700302,1.873674,0.056233,0.01136,0.016249,0.244749,703,330,325,24,24
14,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,4,rsa2048,1,1.414113,3.076501,0.686879,2.206265,0.092549,0.02149,0.035325,0.309779,703,330,325,24,24
15,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,5,rsa2048,1,1.385314,2.552499,0.707773,1.945546,0.058668,0.011461,0.018194,0.264875,703,330,325,24,24
16,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,6,rsa2048,1,1.461495,2.485776,0.699861,1.905934,0.06513,0.011512,0.01632,0.234351,703,330,325,24,24
17,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,7,rsa2048,1,1.408456,2.626644,0.702499,1.874356,0.070158,0.024806,0.037379,0.282818,703,330,325,24,24
18,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,8,rsa2048,1,1.452823,2.647773,0.747403,1.989327,0.066582,0.011821,0.022581,0.282769,703,330,325,24,24
19,BaselineRSA-1-20260810-16:20:01-769471,BaselineRSA,1,1,1,9,rsa2048,1,1.384561,3.087229,0.699699,2.401322,0.079145,0.011891,0.024374,0.277008,703,330,325,24,24
20,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,0,rsa2048,1,1.425129,1.099706,0.697189,0.813541,0.024775,0.00542,0.013605,0.11958,703,330,325,24,24
21,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,1,rsa2048,1,1.381388,1.047481,0.698515,0.803934,0.025045,0.004929,0.006872,0.100404,703,330,325,24,24
22,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,2,rsa2048,1,1.426366,1.049052,0.715195,0.809935,0.024304,0.004849,0.006722,0.099613,703,330,325,24,24
23,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,3,rsa2048,1,1.369075,1.032442,0.689005,0.79678,0.023684,0.004769,0.006682,0.098922,703,330,325,24,24
24,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,4,rsa2048,1,1.357821,1.035859,0.667396,0.795849,0.024105,0.004868,0.006913,0.100133,703,330,325,24,24
25,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,5,rsa2048,1,1.419878,1.023937,0.70637,0.787744,0.023392,0.00494,0.006642,0.099652,703,330,325,24,24
26,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,6,rsa2048,1,1.407218,1.044714,0.686854,0.791391,0.024195,0.004898,0.013876,0.100063,703,330,325,24,24
27,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,7,rsa2048,1,1.400367,1.034817,0.711686,0.795659,0.024505,0.004869,0.006692,0.099633,703,330,325,24,24
28,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,8,rsa2048,1,1.43115,1.027334,0.726211,0.792252,0.023292,0.00485,0.006462,0.098922,703,330,325,24,24
29,BaselineRSA-10-20260810-16:20:09-769471,BaselineRSA,10,10,10,9,rsa2048,1,1.395243,1.184851,0.691175,0.833418,0.03835,0.008205,0.012904,0.132073,703,330,325,24,24
30,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,0,rsa2048,1,1.41108,1.09624,0.713368,0.819192,0.024535,0.00533,0.013645,0.111675,703,330,325,24,24
31,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,1,rsa2048,1,1.394384,1.039184,0.717634,0.79648,0.025116,0.004889,0.006923,0.100083,703,330,325,24,24
32,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,2,rsa2048,1,1.415383,1.128991,0.727677,0.874333,0.026929,0.005029,0.009107,0.101496,703,330,325,24,24
33,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,3,rsa2048,1,1.38358,1.088564,0.688876,0.815235,0.033352,0.00507,0.007874,0.106235,703,330,325,24,24
34,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,4,rsa2048,1,1.414382,1.060304,0.705527,0.820404,0.023934,0.004889,0.007183,0.100174,703,330,325,24,24
35,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,5,rsa2048,1,1.385455,1.065113,0.704503,0.819442,0.024766,0.004929,0.007764,0.101355,703,330,325,24,24
36,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,6,rsa2048,1,1.411402,1.06971,0.704957,0.804184,0.025106,0.00493,0.013545,0.105092,703,330,325,24,24
37,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,7,rsa2048,1,1.440095,1.038726,0.706045,0.791241,0.023944,0.004868,0.006663,0.104371,703,330,325,24,24
38,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,8,rsa2048,1,1.403693,1.06425,0.690772,0.823089,0.024285,0.004909,0.007353,0.100235,703,330,325,24,24
39,BaselineRSA-11-20260810-16:20:09-769471,BaselineRSA,11,11,11,9,rsa2048,1,1.424833,1.041669,0.717523,0.803823,0.023813,0.004898,0.006663,0.099893,703,330,325,24,24
