idx,run_id,config,runnumber,repetition,seedset,uav_id,success,wall_latency_ms,bytes_sent,bytes_received,gs_m1_attempts,gs_m4_successes
0,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,0,1,6.764587,147,630,10,10
1,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,1,1,12.356672,147,630,10,10
2,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,2,1,9.940981,147,630,10,10
3,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,3,1,12.861229,147,630,10,10
4,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,4,1,14.031459,147,630,10,10
5,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,5,1,14.796161,147,630,10,10
6,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,6,1,3.999277,147,630,10,10
7,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,7,1,13.70631,147,630,10,10
8,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,8,1,11.692015,147,630,10,10
9,Inet80211SHA3-0-20260810-15:02:28-742143,Inet80211SHA3,0,0,0,9,1,11.147169,147,630,10,10
10,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,0,1,15.561645,147,630,10,10
11,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,1,1,10.675456,147,630,10,10
12,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,2,1,13.686468,147,630,10,10
13,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,3,1,11.441744,147,630,10,10
14,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,4,1,16.811289,147,630,10,10
15,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,5,1,12.82143,147,630,10,10
16,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,6,1,14.531083,147,630,10,10
17,Inet80211SHA3-1-20260810-15:02:28-742143,Inet80211SHA3,1,1,1,7,1,16.346288,147,630,10,10
