idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
0,Baseline5UAV-0-20260922-20:31:47-1127386,Baseline5UAV,0,0,0,sha3,5,,,,0,1,0.011822,0.049662,0.105706,160,16,enrollment; config=Baseline5UAV
1,Baseline5UAV-0-20260922-20:31:47-1127386,Baseline5UAV,0,0,0,sha3,5,,,,1,1,0.00549,0.035746,0.069028,160,16,enrollment; config=Baseline5UAV
2,Baseline5UAV-0-20260922-20:31:47-1127386,Baseline5UAV,0,0,0,sha3,5,,,,2,1,0.003947,0.035646,0.066964,160,16,enrollment; config=Baseline5UAV
3,Baseline5UAV-0-20260922-20:31:47-1127386,Baseline5UAV,0,0,0,sha3,5,,,,3,1,0.003857,0.035125,0.062255,160,16,enrollment; config=Baseline5UAV
4,Baseline5UAV-0-20260922-20:31:47-1127386,Baseline5UAV,0,0,0,sha3,5,,,,4,1,0.003767,0.035175,0.064039,160,16,enrollment; config=Baseline5UAV
5,Baseline5UAV-1-20260922-20:31:47-1127386,Baseline5UAV,1,1,1,sha3,5,,,,0,1,0.006422,0.042719,0.078625,160,16,enrollment; config=Baseline5UAV
6,Baseline5UAV-1-20260922-20:31:47-1127386,Baseline5UAV,1,1,1,sha3,5,,,,1,1,0.004118,0.03804,0.068136,160,16,enrollment; config=Baseline5UAV
7,Baseline5UAV-1-20260922-20:31:47-1127386,Baseline5UAV,1,1,1,sha3,5,,,,2,1,0.003827,0.034785,0.063268,160,16,enrollment; config=Baseline5UAV
8,Baseline5UAV-1-20260922-20:31:47-1127386,Baseline5UAV,1,1,1,sha3,5,,,,3,1,0.003807,0.03753,0.063708,160,16,enrollment; config=Baseline5UAV
9,Baseline5UAV-1-20260922-20:31:47-1127386,Baseline5UAV,1,1,1,sha3,5,,,,4,1,0.003787,0.038401,0.065131,160,16,enrollment; config=Baseline5UAV
10,Baseline5UAV-10-20260922-20:31:47-1127386,Baseline5UAV,10,10,10,sha3,5,,,,0,1,0.009057,0.041216,0.081651,160,16,enrollment; config=Baseline5UAV
11,Baseline5UAV-10-20260922-20:31:47-1127386,Baseline5UAV,10,10,10,sha3,5,,,,1,1,0.004077,0.035356,0.066133,160,16,enrollment; config=Baseline5UAV
12,Baseline5UAV-10-20260922-20:31:47-1127386,Baseline5UAV,10,10,10,sha3,5,,,,2,1,0.003827,0.035035,0.063758,160,16,enrollment; config=Baseline5UAV
