idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,spongent_compute_ms,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m1_uav_sha3_ms,m1_uav_spongent_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_crypto_ms,m3_crypto_sha3_ms,m3_crypto_spongent_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id
0,1,0.688998,0.009998,0.679,175,sha3,0.004138,0.0,OMNeT++; module=UAVAuthNetwork.uav[0]; config=StadiumSHA3,0.003536,0.003697,0.182,0.004138,0.0,0.001152,0.185,0.002585,0.025848,0.002695,0.004138,0.0,0.00528,0.028914,0.18,3e-05,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0
1,1,0.681294,0.007294,0.674,175,sha3,0.003375,0.0,OMNeT++; module=UAVAuthNetwork.uav[1]; config=StadiumSHA3,0.001513,0.002645,0.199,0.003375,0.0,0.001032,0.182,0.002475,0.021831,0.002254,0.003375,0.0,0.004729,0.024356,0.16,2e-05,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1
2,1,0.651802,0.006802,0.645,175,sha3,0.003307,0.0,OMNeT++; module=UAVAuthNetwork.uav[2]; config=StadiumSHA3,0.001252,0.002495,0.16,0.003307,0.0,0.000902,0.182,0.002424,0.021621,0.002194,0.003307,0.0,0.004618,0.024075,0.161,3e-05,0.142,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,2
3,1,0.672784,0.006784,0.666,175,sha3,0.003297,0.0,OMNeT++; module=UAVAuthNetwork.uav[3]; config=StadiumSHA3,0.001273,0.002354,0.16,0.003297,0.0,0.000972,0.19,0.002415,0.02153,0.002104,0.003297,0.0,0.004519,0.023915,0.184,2e-05,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,3
4,1,0.652942,0.006942,0.646,175,sha3,0.003345,0.0,OMNeT++; module=UAVAuthNetwork.uav[4]; config=StadiumSHA3,0.001243,0.002284,0.16,0.003345,0.0,0.001021,0.182,0.002524,0.02082,0.002134,0.003345,0.0,0.004658,0.023234,0.171,2e-05,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,4
5,1,0.682913,0.006913,0.676,175,sha3,0.003306,0.0,OMNeT++; module=UAVAuthNetwork.uav[5]; config=StadiumSHA3,0.001293,0.002324,0.201,0.003306,0.0,0.000962,0.182,0.002504,0.02139,0.002124,0.003306,0.0,0.004628,0.023724,0.16,3e-05,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,5
6,1,0.682782,0.006782,0.676,175,sha3,0.003267,0.0,OMNeT++; module=UAVAuthNetwork.uav[6]; config=StadiumSHA3,0.001272,0.002365,0.16,0.003267,0.0,0.000941,0.182,0.002455,0.021931,0.002094,0.003267,0.0,0.004549,0.024306,0.161,2e-05,0.173,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,6
7,1,0.680773,0.006773,0.674,175,sha3,0.003246,0.0,OMNeT++; module=UAVAuthNetwork.uav[7]; config=StadiumSHA3,0.001333,0.002355,0.18,0.003246,0.0,0.000951,0.2,0.002385,0.020889,0.002084,0.003246,0.0,0.004469,0.023284,0.161,2e-05,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,7
8,1,0.674743,0.006743,0.668,175,sha3,0.003255,0.0,OMNeT++; module=UAVAuthNetwork.uav[8]; config=StadiumSHA3,0.001253,0.002274,0.16,0.003255,0.0,0.000962,0.183,0.002404,0.02163,0.002094,0.003255,0.0,0.004498,0.023995,0.192,3e-05,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,8
9,1,0.649033,0.007033,0.642,175,sha3,0.003326,0.0,OMNeT++; module=UAVAuthNetwork.uav[9]; config=StadiumSHA3,0.001332,0.002574,0.167,0.003326,0.0,0.000962,0.182,0.002605,0.02122,0.002104,0.003326,0.0,0.004709,0.023625,0.161,3e-05,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,9
10,1,7.235551,6.556551,0.679,175,spongent,0.0,6.548113,OMNeT++; module=UAVAuthNetwork.uav[0]; config=StadiumSPONGENT,1.069081,2.57945,0.182,0.0,6.548113,1.451179,0.185,0.003357,0.025318,4.032914,0.0,6.548113,4.036271,4.076356,0.18,2e-05,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0
11,1,8.221823,7.547823,0.674,175,spongent,0.0,7.538627,OMNeT++; module=UAVAuthNetwork.uav[1]; config=StadiumSPONGENT,1.197341,3.030469,0.199,0.0,7.538627,1.764137,0.182,0.003928,0.023383,4.582377,0.0,7.538627,4.586305,4.092115,0.16,4e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1
12,1,7.400774,6.755774,0.645,175,spongent,0.0,6.749906,OMNeT++; module=UAVAuthNetwork.uav[2]; config=StadiumSPONGENT,1.083277,2.568199,0.16,0.0,6.749906,1.467069,0.182,0.003186,0.032492,4.202132,0.0,6.749906,4.205318,4.11615,0.161,0.00011,0.142,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2
13,1,7.272683,6.606683,0.666,175,spongent,0.0,6.600873,OMNeT++; module=UAVAuthNetwork.uav[3]; config=StadiumSPONGENT,1.086102,2.57893,0.16,0.0,6.600873,1.478029,0.19,0.003227,0.022633,4.039305,0.0,6.600873,4.042532,4.051299,0.184,2e-05,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3
14,1,7.257241,6.611241,0.646,175,spongent,0.0,6.606544,OMNeT++; module=UAVAuthNetwork.uav[4]; config=StadiumSPONGENT,1.088897,2.573139,0.16,0.0,6.606544,1.454605,0.182,0.002795,0.022062,4.064924,0.0,6.606544,4.067719,4.073551,0.171,2e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4
15,1,7.267004,6.591004,0.676,175,spongent,0.0,6.585945,OMNeT++; module=UAVAuthNetwork.uav[5]; config=StadiumSPONGENT,1.078478,2.548783,0.201,0.0,6.585945,1.468362,0.182,0.003085,0.023074,4.040979,0.0,6.585945,4.044064,4.093759,0.16,0.0001,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5
16,1,7.303974,6.627974,0.676,175,spongent,0.0,6.622944,OMNeT++; module=UAVAuthNetwork.uav[6]; config=StadiumSPONGENT,1.089649,2.527413,0.16,0.0,6.622944,1.464714,0.182,0.003146,0.023334,4.070425,0.0,6.622944,4.073571,4.092236,0.161,4e-05,0.173,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,6
17,1,7.257401,6.583401,0.674,175,spongent,0.0,6.577088,OMNeT++; module=UAVAuthNetwork.uav[7]; config=StadiumSPONGENT,1.081224,2.553091,0.18,0.0,6.577088,1.502205,0.2,0.003637,0.022562,3.996305,0.0,6.577088,3.999942,4.042061,0.161,3e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,7
