idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
0,1,1.339635,0.654972,0.684663,507,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=Baseline5UAV,0.440616,0.058909,0.264514,0.101728,0.216104,0.038,0.18898,0.101728,0.112168,0.183746,0.0109,0.468559,Baseline5UAV,Baseline5UAV-0-20260922-20:31:47-1127386,0,Baseline5UAV-0-20260922-20:31:47-1127386|phase2|0,0,0,0,sha3,5,,,,1.132923,0.18898,0.008987,0.013655,0.26512,0.003857,0.008576,0.011201,0.10773,0.009247,104,85,43,275,1,0
1,1,1.19238,0.460243,0.732137,507,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=Baseline5UAV,0.300336,0.048309,0.266351,0.076061,0.218298,0.034764,0.193138,0.076061,0.102671,0.165556,0.007785,0.513839,Baseline5UAV,Baseline5UAV-0-20260922-20:31:47-1127386,1,Baseline5UAV-0-20260922-20:31:47-1127386|phase2|1,0,0,0,sha3,5,,,,1.164044,0.193138,0.007112,0.01024,0.099174,0.001272,0.007053,0.010139,0.09736,0.002204,104,85,43,275,1,0
2,1,1.185835,0.466834,0.719001,507,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=Baseline5UAV,0.307769,0.046667,0.239964,0.07569,0.234867,0.03251,0.208647,0.07569,0.102019,0.179319,0.007685,0.484134,Baseline5UAV,Baseline5UAV-0-20260922-20:31:47-1127386,2,Baseline5UAV-0-20260922-20:31:47-1127386|phase2|2,0,0,0,sha3,5,,,,1.138285,0.208647,0.007063,0.010109,0.099374,0.001282,0.007103,0.010109,0.097501,0.002003,104,85,43,275,1,0
3,1,1.195915,0.455093,0.740822,507,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=Baseline5UAV,0.287623,0.046576,0.250421,0.080008,0.235075,0.0324,0.18915,0.080008,0.101438,0.178725,0.007454,0.505748,Baseline5UAV,Baseline5UAV-0-20260922-20:31:47-1127386,3,Baseline5UAV-0-20260922-20:31:47-1127386|phase2|3,0,0,0,sha3,5,,,,1.169968,0.18915,0.007073,0.00998,0.103192,0.001242,0.007032,0.009898,0.09709,0.001813,104,85,43,275,1,0
4,1,1.140746,0.449042,0.691704,507,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=Baseline5UAV,0.290388,0.051595,0.262191,0.07553,0.215544,0.03216,0.192206,0.07553,0.101949,0.188935,0.007594,0.476159,Baseline5UAV,Baseline5UAV-0-20260922-20:31:47-1127386,4,Baseline5UAV-0-20260922-20:31:47-1127386|phase2|4,0,0,0,sha3,5,,,,1.14283,0.192206,0.006992,0.01009,0.098912,0.001292,0.007043,0.010229,0.10233,0.002043,104,85,43,275,1,0
5,1,1.171896,0.466304,0.705592,507,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=Baseline5UAV,0.303302,0.048189,0.245233,0.077183,0.222333,0.033231,0.195962,0.077183,0.103832,0.158267,0.008636,0.483259,Baseline5UAV,Baseline5UAV-1-20260922-20:31:47-1127386,0,Baseline5UAV-1-20260922-20:31:47-1127386|phase2|0,1,1,1,sha3,5,,,,1.109091,0.195962,0.007634,0.01048,0.102449,0.001874,0.007384,0.010259,0.097982,0.003206,104,85,43,275,1,0
6,1,1.174923,0.451167,0.723756,507,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=Baseline5UAV,0.292842,0.051786,0.254744,0.07525,0.238186,0.03234,0.193368,0.07525,0.109993,0.168357,0.007825,0.485569,Baseline5UAV,Baseline5UAV-1-20260922-20:31:47-1127386,1,Baseline5UAV-1-20260922-20:31:47-1127386|phase2|1,1,1,1,sha3,5,,,,1.146856,0.193368,0.007053,0.009878,0.10268,0.001353,0.007033,0.010299,0.109682,0.002124,104,85,43,275,1,0
7,1,1.17841,0.446996,0.731414,507,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=Baseline5UAV,0.284487,0.046466,0.243389,0.075459,0.241416,0.03229,0.189931,0.075459,0.101619,0.158476,0.011591,0.489999,Baseline5UAV,Baseline5UAV-1-20260922-20:31:47-1127386,2,Baseline5UAV-1-20260922-20:31:47-1127386|phase2|2,1,1,1,sha3,5,,,,1.13328,0.189931,0.007073,0.009888,0.098663,0.002785,0.007024,0.010009,0.09767,0.001673,104,85,43,275,1,0
8,1,1.1993,0.455102,0.744198,507,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=Baseline5UAV,0.282132,0.046546,0.268452,0.082693,0.27632,0.03259,0.187367,0.082693,0.101948,0.170169,0.007584,0.467878,Baseline5UAV,Baseline5UAV-1-20260922-20:31:47-1127386,3,Baseline5UAV-1-20260922-20:31:47-1127386|phase2|3,1,1,1,sha3,5,,,,1.182818,0.187367,0.006942,0.009948,0.105646,0.001293,0.007013,0.009888,0.097531,0.001924,104,85,43,275,1,0
9,1,1.19739,0.452909,0.744481,507,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=Baseline5UAV,0.284867,0.046776,0.255651,0.080259,0.243876,0.032591,0.190823,0.080259,0.101878,0.15866,0.007524,0.500605,Baseline5UAV,Baseline5UAV-1-20260922-20:31:47-1127386,4,Baseline5UAV-1-20260922-20:31:47-1127386|phase2|4,1,1,1,sha3,5,,,,1.158792,0.190823,0.007004,0.009879,0.103121,0.001222,0.007124,0.010189,0.097911,0.001593,104,85,43,275,1,0
10,1,1.183365,0.466716,0.716649,507,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=Baseline5UAV,0.300547,0.0487,0.282613,0.078686,0.225609,0.033332,0.195191,0.078686,0.119532,0.167017,0.008797,0.49104,Baseline5UAV,Baseline5UAV-10-20260922-20:31:47-1127386,0,Baseline5UAV-10-20260922-20:31:47-1127386|phase2|0,10,10,10,sha3,5,,,,1.166278,0.195191,0.007794,0.010609,0.108741,0.001914,0.007464,0.010741,0.1079,0.007734,104,85,43,275,1,0
