idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,spongent_compute_ms,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m1_uav_spongent_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_crypto_ms,m3_crypto_spongent_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id
0,1,7.235551,6.556551,0.679,175,spongent,6.548113,OMNeT++; module=UAVAuthNetwork.uav[0]; config=StadiumSPONGENT,1.069081,2.57945,0.182,6.548113,1.451179,0.185,0.003357,0.025318,4.032914,6.548113,4.036271,4.076356,0.18,2e-05,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,0
1,1,8.221823,7.547823,0.674,175,spongent,7.538627,OMNeT++; module=UAVAuthNetwork.uav[1]; config=StadiumSPONGENT,1.197341,3.030469,0.199,7.538627,1.764137,0.182,0.003928,0.023383,4.582377,7.538627,4.586305,4.092115,0.16,4e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1
2,1,7.400774,6.755774,0.645,175,spongent,6.749906,OMNeT++; module=UAVAuthNetwork.uav[2]; config=StadiumSPONGENT,1.083277,2.568199,0.16,6.749906,1.467069,0.182,0.003186,0.032492,4.202132,6.749906,4.205318,4.11615,0.161,0.00011,0.142,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2
3,1,7.272683,6.606683,0.666,175,spongent,6.600873,OMNeT++; module=UAVAuthNetwork.uav[3]; config=StadiumSPONGENT,1.086102,2.57893,0.16,6.600873,1.478029,0.19,0.003227,0.022633,4.039305,6.600873,4.042532,4.051299,0.184,2e-05,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3
4,1,7.257241,6.611241,0.646,175,spongent,6.606544,OMNeT++; module=UAVAuthNetwork.uav[4]; config=StadiumSPONGENT,1.088897,2.573139,0.16,6.606544,1.454605,0.182,0.002795,0.022062,4.064924,6.606544,4.067719,4.073551,0.171,2e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4
5,1,7.267004,6.591004,0.676,175,spongent,6.585945,OMNeT++; module=UAVAuthNetwork.uav[5]; config=StadiumSPONGENT,1.078478,2.548783,0.201,6.585945,1.468362,0.182,0.003085,0.023074,4.040979,6.585945,4.044064,4.093759,0.16,0.0001,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5
6,1,7.303974,6.627974,0.676,175,spongent,6.622944,OMNeT++; module=UAVAuthNetwork.uav[6]; config=StadiumSPONGENT,1.089649,2.527413,0.16,6.622944,1.464714,0.182,0.003146,0.023334,4.070425,6.622944,4.073571,4.092236,0.161,4e-05,0.173,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,6
7,1,7.257401,6.583401,0.674,175,spongent,6.577088,OMNeT++; module=UAVAuthNetwork.uav[7]; config=StadiumSPONGENT,1.081224,2.553091,0.18,6.577088,1.502205,0.2,0.003637,0.022562,3.996305,6.577088,3.999942,4.042061,0.161,3e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,7
8,1,7.202548,6.534548,0.668,175,spongent,6.530189,OMNeT++; module=UAVAuthNetwork.uav[8]; config=StadiumSPONGENT,1.069982,2.566647,0.16,6.530189,1.461439,0.183,0.002795,0.023454,4.000302,6.530189,4.003097,4.033114,0.192,3e-05,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,8
9,1,7.256508,6.614508,0.642,175,spongent,6.60995,OMNeT++; module=UAVAuthNetwork.uav[9]; config=StadiumSPONGENT,1.091252,2.535539,0.167,6.60995,1.480394,0.182,0.002865,0.023274,4.039947,6.60995,4.042812,4.027173,0.161,5e-05,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,9
