idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,spongent_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
0,1,0.474077,0.009077,0.465,104,sha3,0.005562,0.0,pair=UAV0<->UAV1; config=StadiumSHA3,0.001824,0.002635,0.154,0.002795,0.167,0.001823,0.144,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,1
1,1,0.456135,0.008135,0.448,104,sha3,0.005561,0.0,pair=UAV0<->UAV2; config=StadiumSHA3,0.001473,0.002074,0.158,0.002765,0.155,0.001823,0.135,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,2
2,1,0.484862,0.010862,0.474,104,sha3,0.008054,0.0,pair=UAV0<->UAV3; config=StadiumSHA3,0.004058,0.002224,0.155,0.002806,0.186,0.001774,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,3
3,1,0.462488,0.008488,0.454,104,sha3,0.005548,0.0,pair=UAV0<->UAV4; config=StadiumSHA3,0.001443,0.002425,0.155,0.002806,0.166,0.001814,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,4
4,1,0.477995,0.007995,0.47,104,sha3,0.005421,0.0,pair=UAV0<->UAV5; config=StadiumSHA3,0.001373,0.002034,0.164,0.002785,0.168,0.001803,0.138,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,5
5,1,0.494205,0.008205,0.486,104,sha3,0.005601,0.0,pair=UAV0<->UAV6; config=StadiumSHA3,0.001412,0.002054,0.2,0.002805,0.154,0.001934,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,6
6,1,0.455249,0.010249,0.445,104,sha3,0.005652,0.0,pair=UAV0<->UAV7; config=StadiumSHA3,0.001402,0.004168,0.158,0.002825,0.154,0.001854,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,7
7,1,0.510934,0.007934,0.503,104,sha3,0.005461,0.0,pair=UAV0<->UAV8; config=StadiumSHA3,0.001322,0.002024,0.168,0.002755,0.176,0.001833,0.159,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,8
8,1,0.48762,0.01062,0.477,104,sha3,0.007744,0.0,pair=UAV0<->UAV9; config=StadiumSHA3,0.001383,0.002064,0.155,0.003206,0.155,0.003967,0.167,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,0,9
9,1,0.468859,0.009859,0.459,104,sha3,0.006713,0.0,pair=UAV1<->UAV2; config=StadiumSHA3,0.001383,0.002805,0.173,0.002815,0.154,0.002856,0.132,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,2
10,1,0.453772,0.011772,0.442,104,sha3,0.008748,0.0,pair=UAV1<->UAV3; config=StadiumSHA3,0.001362,0.004308,0.154,0.002756,0.155,0.003346,0.133,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,3
11,1,0.483857,0.009857,0.474,104,sha3,0.006593,0.0,pair=UAV1<->UAV4; config=StadiumSHA3,0.001412,0.003857,0.155,0.002765,0.174,0.001823,0.145,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,4
12,1,0.529145,0.008145,0.521,104,sha3,0.005529,0.0,pair=UAV1<->UAV5; config=StadiumSHA3,0.001332,0.002094,0.154,0.002835,0.207,0.001884,0.16,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,5
13,1,0.472864,0.012864,0.46,104,sha3,0.009838,0.0,pair=UAV1<->UAV6; config=StadiumSHA3,0.001393,0.002294,0.154,0.007334,0.154,0.001843,0.152,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,6
14,1,0.505727,0.009727,0.496,104,sha3,0.006582,0.0,pair=UAV1<->UAV7; config=StadiumSHA3,0.001352,0.003727,0.169,0.002815,0.179,0.001833,0.148,StadiumSHA3,StadiumSHA3-0-20260406-12:04:54-334657,1,7
