idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,initiator,pair_id,mac_ms,kdf_ms,dh_ms
19358,1,0.457331,1.653651,0.215588,197,spongent,pair=UAV0<->UAV1; config=StadiumSPONGENT,0.331357,0.0,0.0,1.322294,0.215588,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,1,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|1,0,0,0,spongent,10,,,,1,0-1,0.861769,0.655242,0.129367
19359,1,0.445492,1.661125,0.205679,197,spongent,pair=UAV0<->UAV2; config=StadiumSPONGENT,0.321379,0.0,0.0,1.339746,0.205679,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,2,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|2,0,0,0,spongent,10,,,,1,0-2,0.89453,0.636176,0.124168
19360,1,0.446536,1.514857,0.206986,197,spongent,pair=UAV0<->UAV3; config=StadiumSPONGENT,0.431521,0.0,0.0,1.083336,0.206986,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,3,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|3,0,0,0,spongent,10,,,,1,0-3,0.814121,0.580914,0.11437
19361,1,0.472762,1.493878,0.20765,197,spongent,pair=UAV0<->UAV4; config=StadiumSPONGENT,0.464401,0.0,0.0,1.029477,0.20765,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,4,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|4,0,0,0,spongent,10,,,,1,0-4,0.771555,0.599008,0.116513
19362,1,0.483566,1.384438,0.227301,197,spongent,pair=UAV0<->UAV5; config=StadiumSPONGENT,0.357896,0.0,0.0,1.026542,0.227301,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,5,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|5,0,0,0,spongent,10,,,,1,0-5,0.712365,0.559677,0.102799
19363,1,0.457181,1.509567,0.21484,197,spongent,pair=UAV0<->UAV6; config=StadiumSPONGENT,0.322431,0.0,0.0,1.187136,0.21484,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,6,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|6,0,0,0,spongent,10,,,,1,0-6,0.737102,0.64942,0.118307
19364,1,0.455948,1.385972,0.214391,197,spongent,pair=UAV0<->UAV7; config=StadiumSPONGENT,0.328623,0.0,0.0,1.057349,0.214391,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,7,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|7,0,0,0,spongent,10,,,,1,0-7,0.739366,0.538637,0.101306
19365,1,0.472572,1.351087,0.217666,197,spongent,pair=UAV0<->UAV8; config=StadiumSPONGENT,0.320417,0.0,0.0,1.03067,0.217666,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,8,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|8,0,0,0,spongent,10,,,,1,0-8,0.709792,0.539078,0.097678
19366,1,0.479787,1.382755,0.246191,197,spongent,pair=UAV0<->UAV9; config=StadiumSPONGENT,0.319215,0.0,0.0,1.06354,0.246191,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,0,9,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|0|9,0,0,0,spongent,10,,,,1,0-9,0.703589,0.577068,0.098671
19367,1,0.363096,0.668346,0.389251,197,spongent,pair=UAV1<->UAV0; config=StadiumSPONGENT,0.0,0.668346,0.241743,0.0,0.0,0.147508,StadiumSPONGENT,StadiumSPONGENT-0-20260810-14:59:32-739851,1,0,StadiumSPONGENT-0-20260810-14:59:32-739851|phase3|1|0,0,0,0,spongent,10,,,,0,0-1,0.775491,0.565247,0.120441
