idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
0,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,aead_seal,10,0.04324,4.324,2.59,12.4301
1,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_derive,10,0.652519,65.2519,63.668,71.9391
2,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_keygen,10,0.347864,34.7864,33.7275,39.76845
3,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,extract,10,0.025708,2.5708,2.5195,2.815
4,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,kdf,180,0.839873,4.665961,4.2975,5.31
5,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac,10,0.026087,2.6087,2.504,3.0826
6,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac_verify,20,0.046465,2.32325,2.3295,2.82755
7,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,aead_open,1,0.003777,3.777,3.777,3.777
8,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_derive,10,0.667875,66.7875,63.783,78.90135
9,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_keygen,10,0.48098,48.098,33.2665,114.7721
10,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,extract,1,0.003907,3.907,3.907,3.907
11,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,kdf,21,0.105835,5.039762,5.059,5.921
12,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac,20,0.04857,2.4285,2.119,4.64755
13,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac_verify,10,0.023184,2.3184,2.084,3.2886
14,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,aead_open,1,0.002825,2.825,2.825,2.825
15,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_derive,10,0.650673,65.0673,64.0185,69.6601
16,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_keygen,10,0.338439,33.8439,33.432,35.6725
17,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,extract,1,0.004679,4.679,4.679,4.679
18,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,kdf,21,0.115364,5.493524,5.08,9.027
19,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac,19,0.040612,2.137474,2.124,2.305
20,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac_verify,11,0.024063,2.187545,2.094,2.5445
