idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
0,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,0,rsa2048,1,1.419876,1.353415,0.703512,1.000482,0.025668,0.008165,0.020918,0.144547,703,330,325,24,24
1,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,1,rsa2048,1,1.40047,1.080671,0.707386,0.818254,0.032601,0.00499,0.007554,0.101899,703,330,325,24,24
2,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,2,rsa2048,1,1.373585,1.043423,0.678801,0.804689,0.023904,0.004829,0.006833,0.099915,703,330,325,24,24
3,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,3,rsa2048,1,1.395154,1.05977,0.685433,0.807705,0.024876,0.004879,0.007243,0.105194,703,330,325,24,24
4,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,4,rsa2048,1,1.439213,1.049441,0.732542,0.81015,0.023764,0.004919,0.007113,0.100015,703,330,325,24,24
5,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,5,rsa2048,1,1.387226,1.047348,0.701233,0.795512,0.024816,0.004919,0.007044,0.105335,703,330,325,24,24
6,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,6,rsa2048,1,1.410177,1.055073,0.709557,0.813977,0.024475,0.004889,0.006983,0.100296,703,330,325,24,24
7,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,7,rsa2048,1,1.383066,1.130632,0.676895,0.850374,0.036508,0.005329,0.01033,0.10301,703,330,325,24,24
8,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,8,rsa2048,1,1.442465,1.101619,0.689708,0.853239,0.025117,0.00508,0.008055,0.102159,703,330,325,24,24
9,BaselineRSA-0-20260922-20:33:04-1128111,BaselineRSA,0,0,0,9,rsa2048,1,1.40048,1.047389,0.701856,0.804359,0.024716,0.004859,0.007134,0.100947,703,330,325,24,24
