idx,run_id,config,runnumber,repetition,seedset,uav_id,phase,peer_uav_id,success,wall_latency_ms,compute_ms,net_ms,net_ms_derived,bytes_sent,bytes_received,gs_m1_attempts,gs_m4_successes
0,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase2,,1,6.764587,0.563091,6.201496,1,1218,1332,10,10
1,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,1,1,,0.127856,,0,,,,
2,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,2,1,,0.127144,,0,,,,
3,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,3,1,,0.124019,,0,,,,
4,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,4,1,,0.136613,,0,,,,
5,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,5,1,,0.133917,,0,,,,
6,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,6,1,,0.127927,,0,,,,
7,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,7,1,,0.124661,,0,,,,
8,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,8,1,,0.138285,,0,,,,
9,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,0,phase3,9,1,,0.131173,,0,,,,
10,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase2,,1,12.356672,0.412263,11.944409,1,1177,1373,10,10
11,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,0,1,,0.154756,,0,,,,
12,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,2,1,,0.148014,,0,,,,
13,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,3,1,,0.128769,,0,,,,
14,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,4,1,,0.128869,,0,,,,
15,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,5,1,,0.133848,,0,,,,
16,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,6,1,,0.126374,,0,,,,
17,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,7,1,,0.127065,,0,,,,
18,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,8,1,,0.157501,,0,,,,
19,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,1,phase3,9,1,,0.128137,,0,,,,
20,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase2,,1,9.940981,0.417674,9.523307,1,1136,1414,10,10
21,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,0,1,,0.139769,,0,,,,
22,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,1,1,,0.132415,,0,,,,
23,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,3,1,,0.127326,,0,,,,
24,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,4,1,,0.132244,,0,,,,
25,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,5,1,,0.127235,,0,,,,
26,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,6,1,,0.122446,,0,,,,
27,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,7,1,,0.13512,,0,,,,
28,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,8,1,,0.122988,,0,,,,
29,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,2,phase3,9,1,,0.139708,,0,,,,
30,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,3,phase2,,1,12.861229,0.401574,12.459655,1,1095,1455,10,10
31,Inet80211SHA3-0-20260922-20:33:33-1128346,Inet80211SHA3,0,0,0,3,phase3,0,1,,0.139498,,0,,,,
