idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,mobility_model,initial_xpos_m,initial_ypos_m,final_xpos_m,final_ypos_m,total_distance_traveled_m,phase2_wall_latency_ms,details
0,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.518543,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
1,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,1,static,275.0,50.0,275.0,50.0,0.0,1.499136,module=UavAuthNetwork.uav[1]; config=ArbiterPuf
2,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,2,static,450.0,50.0,450.0,50.0,0.0,1.472252,module=UavAuthNetwork.uav[2]; config=ArbiterPuf
3,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,3,static,100.0,300.0,100.0,300.0,0.0,1.493821,module=UavAuthNetwork.uav[3]; config=ArbiterPuf
4,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,4,static,275.0,300.0,275.0,300.0,0.0,1.53788,module=UavAuthNetwork.uav[4]; config=ArbiterPuf
5,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,5,static,450.0,300.0,450.0,300.0,0.0,1.485893,module=UavAuthNetwork.uav[5]; config=ArbiterPuf
6,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,6,static,50.0,120.0,50.0,120.0,0.0,1.508843,module=UavAuthNetwork.uav[6]; config=ArbiterPuf
7,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,7,static,50.0,230.0,50.0,230.0,0.0,1.481733,module=UavAuthNetwork.uav[7]; config=ArbiterPuf
8,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,8,static,500.0,120.0,500.0,120.0,0.0,1.541131,module=UavAuthNetwork.uav[8]; config=ArbiterPuf
9,ArbiterPuf-0-20260810-14:59:42-740294,ArbiterPuf,0,0,0,sha3,10,,,,9,static,500.0,230.0,500.0,230.0,0.0,1.499146,module=UavAuthNetwork.uav[9]; config=ArbiterPuf
10,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.483483,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
11,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,1,static,275.0,50.0,275.0,50.0,0.0,1.496314,module=UavAuthNetwork.uav[1]; config=ArbiterPuf
12,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,2,static,450.0,50.0,450.0,50.0,0.0,1.51139,module=UavAuthNetwork.uav[2]; config=ArbiterPuf
13,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,3,static,100.0,300.0,100.0,300.0,0.0,1.492483,module=UavAuthNetwork.uav[3]; config=ArbiterPuf
14,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,4,static,275.0,300.0,275.0,300.0,0.0,1.51278,module=UavAuthNetwork.uav[4]; config=ArbiterPuf
15,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,5,static,450.0,300.0,450.0,300.0,0.0,1.483981,module=UavAuthNetwork.uav[5]; config=ArbiterPuf
16,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,6,static,50.0,120.0,50.0,120.0,0.0,0.0,module=UavAuthNetwork.uav[6]; config=ArbiterPuf
17,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,7,static,50.0,230.0,50.0,230.0,0.0,1.560162,module=UavAuthNetwork.uav[7]; config=ArbiterPuf
18,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,8,static,500.0,120.0,500.0,120.0,0.0,1.507122,module=UavAuthNetwork.uav[8]; config=ArbiterPuf
19,ArbiterPuf-1-20260810-14:59:43-740294,ArbiterPuf,1,1,1,sha3,10,,,,9,static,500.0,230.0,500.0,230.0,0.0,1.55149,module=UavAuthNetwork.uav[9]; config=ArbiterPuf
20,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.523796,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
21,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,1,static,275.0,50.0,275.0,50.0,0.0,1.480055,module=UavAuthNetwork.uav[1]; config=ArbiterPuf
22,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,2,static,450.0,50.0,450.0,50.0,0.0,1.525032,module=UavAuthNetwork.uav[2]; config=ArbiterPuf
23,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,3,static,100.0,300.0,100.0,300.0,0.0,1.467742,module=UavAuthNetwork.uav[3]; config=ArbiterPuf
24,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,4,static,275.0,300.0,275.0,300.0,0.0,1.456487,module=UavAuthNetwork.uav[4]; config=ArbiterPuf
25,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,5,static,450.0,300.0,450.0,300.0,0.0,1.518545,module=UavAuthNetwork.uav[5]; config=ArbiterPuf
26,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,6,static,50.0,120.0,50.0,120.0,0.0,1.505884,module=UavAuthNetwork.uav[6]; config=ArbiterPuf
27,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,7,static,50.0,230.0,50.0,230.0,0.0,1.499033,module=UavAuthNetwork.uav[7]; config=ArbiterPuf
28,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,8,static,500.0,120.0,500.0,120.0,0.0,1.529817,module=UavAuthNetwork.uav[8]; config=ArbiterPuf
29,ArbiterPuf-10-20260810-14:59:49-740294,ArbiterPuf,10,10,10,sha3,10,,,,9,static,500.0,230.0,500.0,230.0,0.0,1.49391,module=UavAuthNetwork.uav[9]; config=ArbiterPuf
30,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.509746,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
31,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,1,static,275.0,50.0,275.0,50.0,0.0,1.493051,module=UavAuthNetwork.uav[1]; config=ArbiterPuf
32,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,2,static,450.0,50.0,450.0,50.0,0.0,1.51405,module=UavAuthNetwork.uav[2]; config=ArbiterPuf
33,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,3,static,100.0,300.0,100.0,300.0,0.0,1.482247,module=UavAuthNetwork.uav[3]; config=ArbiterPuf
34,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,4,static,275.0,300.0,275.0,300.0,0.0,1.513049,module=UavAuthNetwork.uav[4]; config=ArbiterPuf
35,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,5,static,450.0,300.0,450.0,300.0,0.0,1.484121,module=UavAuthNetwork.uav[5]; config=ArbiterPuf
36,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,6,static,50.0,120.0,50.0,120.0,0.0,1.510069,module=UavAuthNetwork.uav[6]; config=ArbiterPuf
37,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,7,static,50.0,230.0,50.0,230.0,0.0,1.538761,module=UavAuthNetwork.uav[7]; config=ArbiterPuf
38,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,8,static,500.0,120.0,500.0,120.0,0.0,1.50236,module=UavAuthNetwork.uav[8]; config=ArbiterPuf
39,ArbiterPuf-11-20260810-14:59:49-740294,ArbiterPuf,11,11,11,sha3,10,,,,9,static,500.0,230.0,500.0,230.0,0.0,1.5235,module=UavAuthNetwork.uav[9]; config=ArbiterPuf
40,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.530444,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
41,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,1,static,275.0,50.0,275.0,50.0,0.0,1.489694,module=UavAuthNetwork.uav[1]; config=ArbiterPuf
42,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,2,static,450.0,50.0,450.0,50.0,0.0,1.50253,module=UavAuthNetwork.uav[2]; config=ArbiterPuf
43,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,3,static,100.0,300.0,100.0,300.0,0.0,1.514237,module=UavAuthNetwork.uav[3]; config=ArbiterPuf
44,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,4,static,275.0,300.0,275.0,300.0,0.0,1.515658,module=UavAuthNetwork.uav[4]; config=ArbiterPuf
45,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,5,static,450.0,300.0,450.0,300.0,0.0,1.544292,module=UavAuthNetwork.uav[5]; config=ArbiterPuf
46,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,6,static,50.0,120.0,50.0,120.0,0.0,1.515532,module=UavAuthNetwork.uav[6]; config=ArbiterPuf
47,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,7,static,50.0,230.0,50.0,230.0,0.0,1.511455,module=UavAuthNetwork.uav[7]; config=ArbiterPuf
48,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,8,static,500.0,120.0,500.0,120.0,0.0,1.476198,module=UavAuthNetwork.uav[8]; config=ArbiterPuf
49,ArbiterPuf-12-20260810-14:59:50-740294,ArbiterPuf,12,12,12,sha3,10,,,,9,static,500.0,230.0,500.0,230.0,0.0,1.47332,module=UavAuthNetwork.uav[9]; config=ArbiterPuf
50,ArbiterPuf-13-20260810-14:59:51-740294,ArbiterPuf,13,13,13,sha3,10,,,,0,static,100.0,50.0,100.0,50.0,0.0,1.483305,module=UavAuthNetwork.uav[0]; config=ArbiterPuf
