idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
0,1,2.512476,1.434297,1.078179,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.233504,0.051035,0.256671,0.094245,0.249728,0.828744,0.186706,0.094245,0.142975,0.183693,0.012303,0.828452,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,0,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|0,0,0,0,sha3,10,,,,1.518543,0.186706,0.010932,0.01128,0.262515,0.003937,0.008095,0.011051,0.098452,0.017753,104,85,43,545,1,0
1,1,2.367092,1.285039,1.082053,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.119423,0.04856,0.251082,0.076441,0.240244,0.818936,0.23238,0.076441,0.126394,0.166001,0.012734,0.841809,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,1,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|1,0,0,0,sha3,10,,,,1.499136,0.23238,0.007223,0.01075,0.100546,0.002905,0.007254,0.010329,0.097591,0.002685,104,85,43,545,1,0
2,1,2.325171,1.271703,1.053468,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.102731,0.047929,0.244435,0.079607,0.225942,0.825008,0.206632,0.079607,0.142925,0.174349,0.009758,0.827526,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,2,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|2,0,0,0,sha3,10,,,,1.472252,0.206632,0.007145,0.010429,0.106447,0.001643,0.007153,0.011991,0.111736,0.002695,104,85,43,545,1,0
3,1,2.379082,1.318982,1.0601,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.153035,0.065832,0.270952,0.078325,0.230351,0.868949,0.208366,0.078325,0.128167,0.16277,0.009297,0.829749,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,3,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|3,0,0,0,sha3,10,,,,1.493821,0.208366,0.008055,0.01089,0.108902,0.001523,0.009108,0.014707,0.109984,0.002665,104,85,43,545,1,0
4,1,2.452718,1.345509,1.107209,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.171027,0.049462,0.241588,0.082282,0.257305,0.892772,0.207755,0.082282,0.135431,0.189083,0.009918,0.849904,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,4,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|4,0,0,0,sha3,10,,,,1.53788,0.207755,0.007404,0.015018,0.10341,0.001813,0.007624,0.011241,0.099054,0.006172,104,85,43,545,1,0
5,1,2.382249,1.306349,1.0759,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.127237,0.049312,0.245457,0.084697,0.227226,0.841398,0.21618,0.084697,0.132114,0.164536,0.009718,0.848674,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,5,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|5,0,0,0,sha3,10,,,,1.485893,0.21618,0.007555,0.011461,0.108942,0.001563,0.007575,0.01109,0.100066,0.002524,104,85,43,545,1,0
6,1,2.425537,1.341313,1.084224,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.176919,0.050213,0.252117,0.077343,0.244646,0.899155,0.203747,0.077343,0.128217,0.172502,0.009708,0.839578,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,6,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|6,0,0,0,sha3,10,,,,1.508843,0.203747,0.007494,0.011381,0.102309,0.001673,0.007614,0.01127,0.098051,0.003145,104,85,43,545,1,0
7,1,2.310453,1.258892,1.051561,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.087173,0.047919,0.242171,0.081251,0.214395,0.829626,0.191043,0.081251,0.132195,0.188,0.009217,0.837166,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,7,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|7,0,0,0,sha3,10,,,,1.481733,0.191043,0.007152,0.01048,0.104413,0.001482,0.007143,0.010479,0.097901,0.002184,104,85,43,545,1,0
8,1,2.320131,1.255756,1.064375,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.093995,0.048089,0.258842,0.076282,0.223481,0.829626,0.193438,0.076282,0.125732,0.217914,0.009197,0.840894,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,8,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|8,0,0,0,sha3,10,,,,1.541131,0.193438,0.007243,0.010168,0.104474,0.001503,0.007183,0.010428,0.097701,0.002124,104,85,43,545,1,0
9,1,2.331285,1.254763,1.076522,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.093764,0.047488,0.263986,0.076061,0.224282,0.832842,0.195091,0.076061,0.125322,0.158638,0.008877,0.852241,ArbiterPuf,ArbiterPuf-0-20260922-20:31:50-1127388,9,ArbiterPuf-0-20260922-20:31:50-1127388|phase2|9,0,0,0,sha3,10,,,,1.499146,0.195091,0.007132,0.010299,0.099655,0.001392,0.007114,0.010229,0.0978,0.002094,104,85,43,545,1,0
10,1,2.409427,1.352953,1.056474,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.179844,0.054351,0.268297,0.08137,0.224628,0.880701,0.207363,0.08137,0.142674,0.158713,0.010369,0.831845,ArbiterPuf,ArbiterPuf-1-20260922-20:31:51-1127388,0,ArbiterPuf-1-20260922-20:31:51-1127388|phase2|0,1,1,1,sha3,10,,,,1.483483,0.207363,0.008065,0.011601,0.117708,0.002044,0.007604,0.012563,0.098863,0.01647,104,85,43,545,1,0
