puf_ber,fe_profile,bch_t,num_blocks_L,rep_factor,runs,devices,fe_failures,measured_frr,frr_ci95_lo,frr_ci95_hi,predicted_frr_binomial,per_block_failure_pred,prediction_within_ci,device_auth_success_rate
0.0,bch255-131-18,18,4,1,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.0,bch255-91-25,25,5,1,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.0,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.01,bch255-131-18,18,4,1,3,30,0,0.0,0.0,0.113517,9.3e-11,2.3e-11,1,1.0
0.01,bch255-91-25,25,5,1,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.01,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.02,bch255-131-18,18,4,1,3,30,0,0.0,0.0,0.113517,5.118605e-06,1.279654e-06,1,1.0
0.02,bch255-91-25,25,5,1,3,30,0,0.0,0.0,0.113517,9.8e-11,2e-11,1,1.0
0.02,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.03,bch255-131-18,18,4,1,3,30,0,0.0,0.0,0.113517,0.001192899114,0.000298358278,1,1.0
0.03,bch255-91-25,25,5,1,3,30,0,0.0,0.0,0.113517,3.94815e-07,7.8963e-08,1,1.0
0.03,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.05,bch255-131-18,18,4,1,3,30,4,0.133333,0.053096,0.296817,0.204516220157,0.055595968872,1,0.866667
0.05,bch255-91-25,25,5,1,3,30,0,0.0,0.0,0.113517,0.002564704719,0.000513467972,1,1.0
0.05,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.0,0.0,1,1.0
0.07,bch255-131-18,18,4,1,3,30,27,0.9,0.743786,0.965401,0.889279994715,0.423158464194,1,0.1
0.07,bch255-91-25,25,5,1,3,30,2,0.066667,0.018477,0.213238,0.165566442195,0.035553031581,1,0.933333
0.07,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,2.8617e-08,5.723e-09,1,1.0
0.1,bch255-131-18,18,4,1,3,30,30,1.0,0.886483,1.0,0.999979941626,0.933077226857,1,0.0
0.1,bch255-91-25,25,5,1,3,30,29,0.966667,0.833292,0.994092,0.965104024009,0.488842108665,1,0.033333
0.1,rep3-bch255-131-18,18,5,3,3,30,0,0.0,0.0,0.113517,0.000630699856,0.000126171806,1,1.0
