idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
0,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,0,1,1.126307,0.096272,1.286547,160,16,enrollment; config=ArbiterPuf
1,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,1,1,1.059113,0.045721,1.134483,160,16,enrollment; config=ArbiterPuf
2,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,2,1,1.097169,0.039058,1.165566,160,16,enrollment; config=ArbiterPuf
3,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,3,1,1.016478,0.036112,1.079183,160,16,enrollment; config=ArbiterPuf
4,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,4,1,1.066528,0.042955,1.136578,160,16,enrollment; config=ArbiterPuf
5,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,5,1,0.999234,0.036473,1.063011,160,16,enrollment; config=ArbiterPuf
6,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,6,1,0.998853,0.036202,1.061548,160,16,enrollment; config=ArbiterPuf
7,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,7,1,1.014714,0.041092,1.081277,160,16,enrollment; config=ArbiterPuf
8,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,8,1,1.046638,0.038767,1.112359,160,16,enrollment; config=ArbiterPuf
9,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,9,1,0.998201,0.035651,1.059183,160,16,enrollment; config=ArbiterPuf
10,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,0,1,0.994274,0.053417,1.083742,160,16,enrollment; config=ArbiterPuf
11,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,1,1,1.074604,0.038266,1.144053,160,16,enrollment; config=ArbiterPuf
12,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,2,1,0.989454,0.035742,1.0523,160,16,enrollment; config=ArbiterPuf
13,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,3,1,1.021047,0.035762,1.082219,160,16,enrollment; config=ArbiterPuf
14,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,4,1,0.997891,0.03536,1.058842,160,16,enrollment; config=ArbiterPuf
15,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,5,1,0.996478,0.03522,1.056197,160,16,enrollment; config=ArbiterPuf
