idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
0,1,2.866517,1.788338,1.078179,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.589514,0.051986,0.256671,0.093471,0.249728,1.169924,0.192643,0.093471,0.143884,0.183693,0.011882,0.828452,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,0,ArbiterPuf-0-20260810-14:59:42-740294|phase2|0,0,0,0,sha3,10,,,,1.518543,0.192643,0.0112,0.01138,0.272018,0.003867,0.008025,0.01113,0.100504,0.01087,104,85,43,545,1,0
1,1,2.692226,1.610173,1.082053,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.438838,0.048079,0.251082,0.081039,0.240244,1.179843,0.192753,0.081039,0.126572,0.166001,0.009257,0.841809,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,1,ArbiterPuf-0-20260810-14:59:42-740294|phase2|1,0,0,0,sha3,10,,,,1.499136,0.192753,0.007202,0.010218,0.104492,0.001453,0.007202,0.010449,0.098391,0.002244,104,85,43,545,1,0
2,1,2.657878,1.60441,1.053468,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.442764,0.048078,0.244435,0.07634,0.225942,1.17836,0.199516,0.07634,0.126152,0.174349,0.008966,0.827526,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,2,ArbiterPuf-0-20260810-14:59:42-740294|phase2|2,0,0,0,sha3,10,,,,1.472252,0.199516,0.007152,0.010219,0.099682,0.001422,0.007233,0.010309,0.09847,0.002034,104,85,43,545,1,0
3,1,2.661726,1.601626,1.0601,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.422708,0.047327,0.270952,0.085046,0.230351,1.166709,0.191751,0.085046,0.125931,0.16277,0.008826,0.829749,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,3,ArbiterPuf-0-20260810-14:59:42-740294|phase2|3,0,0,0,sha3,10,,,,1.493821,0.191751,0.007002,0.010399,0.108268,0.001413,0.007044,0.010419,0.09855,0.001994,104,85,43,545,1,0
4,1,2.691935,1.584726,1.107209,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.423159,0.047557,0.241588,0.07624,0.257305,1.164605,0.195017,0.07624,0.1255,0.189083,0.009087,0.849904,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,4,ArbiterPuf-0-20260810-14:59:42-740294|phase2|4,0,0,0,sha3,10,,,,1.53788,0.195017,0.007143,0.010168,0.099743,0.001453,0.007203,0.010109,0.09827,0.001923,104,85,43,545,1,0
5,1,2.661526,1.585626,1.0759,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.42344,0.047127,0.245457,0.07662,0.227226,1.169715,0.189016,0.07662,0.12552,0.164536,0.008946,0.848674,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,5,ArbiterPuf-0-20260810-14:59:42-740294|phase2|5,0,0,0,sha3,10,,,,1.485893,0.189016,0.007063,0.010239,0.099962,0.001393,0.007233,0.010138,0.09822,0.001973,104,85,43,545,1,0
6,1,2.713752,1.629528,1.084224,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.463233,0.047617,0.252117,0.07626,0.244646,1.197735,0.199366,0.07626,0.13071,0.172502,0.013775,0.839578,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,6,ArbiterPuf-0-20260810-14:59:42-740294|phase2|6,0,0,0,sha3,10,,,,1.508843,0.199366,0.007062,0.010089,0.102388,0.002094,0.007084,0.01029,0.0982,0.002925,104,85,43,545,1,0
7,1,2.795728,1.744167,1.051561,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.557004,0.048299,0.242171,0.088983,0.214395,1.281359,0.196951,0.088983,0.127564,0.188,0.009197,0.837166,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,7,ArbiterPuf-0-20260810-14:59:42-740294|phase2|7,0,0,0,sha3,10,,,,1.481733,0.196951,0.007333,0.014186,0.11437,0.001573,0.007203,0.010359,0.098691,0.002634,104,85,43,545,1,0
8,1,2.656814,1.592439,1.064375,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.430863,0.047998,0.258842,0.07632,0.223481,1.17238,0.193795,0.07632,0.126252,0.217914,0.008936,0.840894,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,8,ArbiterPuf-0-20260810-14:59:42-740294|phase2|8,0,0,0,sha3,10,,,,1.541131,0.193795,0.007222,0.01019,0.099842,0.001443,0.007194,0.01035,0.09828,0.002034,104,85,43,545,1,0
9,1,2.656316,1.579794,1.076522,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.422106,0.045774,0.263986,0.074496,0.224282,1.168331,0.191101,0.074496,0.122123,0.158638,0.008696,0.852241,ArbiterPuf,ArbiterPuf-0-20260810-14:59:42-740294,9,ArbiterPuf-0-20260810-14:59:42-740294|phase2|9,0,0,0,sha3,10,,,,1.499146,0.191101,0.006913,0.010038,0.096697,0.001383,0.006973,0.009788,0.095455,0.001964,104,85,43,545,1,0
10,1,2.705846,1.649372,1.056474,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.477448,0.050051,0.268297,0.080667,0.224628,1.198978,0.194036,0.080667,0.147741,0.158713,0.01059,0.831845,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,0,ArbiterPuf-1-20260810-14:59:43-740294|phase2|0,1,1,1,sha3,10,,,,1.483483,0.194036,0.007955,0.011411,0.115342,0.002144,0.007594,0.011341,0.111194,0.008666,104,85,43,545,1,0
11,1,2.659476,1.602697,1.056779,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.437746,0.047347,0.264262,0.077692,0.225093,1.170205,0.199235,0.077692,0.126803,0.175273,0.009567,0.831686,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,1,ArbiterPuf-1-20260810-14:59:43-740294|phase2|1,1,1,1,sha3,10,,,,1.496314,0.199235,0.007362,0.010519,0.101015,0.001503,0.007313,0.010269,0.098321,0.002214,104,85,43,545,1,0
12,1,2.771149,1.681924,1.089225,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.519685,0.047537,0.252213,0.076551,0.236517,1.257535,0.19637,0.076551,0.125921,0.169952,0.009137,0.852708,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,2,ArbiterPuf-1-20260810-14:59:43-740294|phase2|2,1,1,1,sha3,10,,,,1.51139,0.19637,0.007232,0.010198,0.099543,0.001433,0.007214,0.010179,0.09819,0.001994,104,85,43,545,1,0
13,1,2.650445,1.575477,1.074968,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.414853,0.046816,0.252408,0.075839,0.246567,1.165266,0.184337,0.075839,0.124888,0.165107,0.008946,0.828402,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,3,ArbiterPuf-1-20260810-14:59:43-740294|phase2|3,1,1,1,sha3,10,,,,1.492483,0.184337,0.007112,0.010038,0.099092,0.001423,0.007154,0.010009,0.097599,0.001984,104,85,43,545,1,0
14,1,2.63558,1.574035,1.061545,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.41263,0.047757,0.271349,0.076199,0.216598,1.161459,0.186953,0.076199,0.13112,0.179885,0.009007,0.844948,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,4,ArbiterPuf-1-20260810-14:59:43-740294|phase2|4,1,1,1,sha3,10,,,,1.51278,0.186953,0.007065,0.010128,0.099072,0.001402,0.007114,0.010359,0.097618,0.002004,104,85,43,545,1,0
15,1,2.68152,1.599081,1.082439,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.438106,0.047086,0.242388,0.075979,0.216014,1.178591,0.194807,0.075979,0.125751,0.159153,0.009017,0.866426,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,5,ArbiterPuf-1-20260810-14:59:43-740294|phase2|5,1,1,1,sha3,10,,,,1.483981,0.194807,0.007043,0.010089,0.099081,0.001422,0.007142,0.010159,0.097929,0.001904,104,85,43,545,1,0
16,0,0.0,0.0,0.0,0,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,0.0,0.0,0.0,0.0,0.0,1.270969,0.28895,0.0,0.0,0.0,0.0,0.0,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,6,ArbiterPuf-1-20260810-14:59:43-740294|phase2|6,1,1,1,sha3,10,,,,0.0,0.28895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
17,1,3.278918,2.20439,1.074528,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,2.030993,0.053067,0.283112,0.081509,0.221452,1.640397,0.302524,0.081509,0.134937,0.202522,0.010379,0.853076,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,7,ArbiterPuf-1-20260810-14:59:43-740294|phase2|7,1,1,1,sha3,10,,,,1.560162,0.302524,0.008444,0.012364,0.113117,0.001963,0.007914,0.01137,0.099602,0.007093,104,85,43,545,1,0
18,1,2.685073,1.607908,1.077165,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.443566,0.048749,0.244929,0.077422,0.225607,1.171718,0.199015,0.077422,0.128666,0.185028,0.009498,0.851558,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,8,ArbiterPuf-1-20260810-14:59:43-740294|phase2|8,1,1,1,sha3,10,,,,1.507122,0.199015,0.007474,0.0105,0.101686,0.001493,0.007294,0.010709,0.09839,0.002544,104,85,43,545,1,0
19,1,2.95067,1.8286,1.12207,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.65843,0.049701,0.255804,0.077762,0.244446,1.231367,0.355612,0.077762,0.128535,0.173615,0.014646,0.877624,ArbiterPuf,ArbiterPuf-1-20260810-14:59:43-740294,9,ArbiterPuf-1-20260810-14:59:43-740294|phase2|9,1,1,1,sha3,10,,,,1.55149,0.355612,0.007494,0.011962,0.10305,0.001643,0.007183,0.01094,0.098631,0.002785,104,85,43,545,1,0
