idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
0,1,2.870534,1.792355,1.078179,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.578389,0.052184,0.256671,0.100991,0.249728,1.16283,0.194228,0.100991,0.137043,0.183693,0.011984,0.828452,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,0,ArbiterPuf-0-20260809-23:47:28-406558|phase2|0,0,0,0,sha3,10,,,,1.518543,0.194228,0.011383,0.011764,0.271832,0.003808,0.008607,0.011193,0.099167,0.011282,104,85,43,545,1,0
1,1,2.667928,1.585875,1.082053,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.42336,0.048757,0.251082,0.076513,0.240244,1.167619,0.189579,0.076513,0.126603,0.166001,0.009489,0.841809,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,1,ArbiterPuf-0-20260809-23:47:28-406558|phase2|1,0,0,0,sha3,10,,,,1.499136,0.189579,0.007244,0.010341,0.099619,0.001583,0.007305,0.010541,0.098056,0.002345,104,85,43,545,1,0
2,1,2.905812,1.852344,1.053468,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.680773,0.049769,0.244435,0.078907,0.225942,1.406065,0.201823,0.078907,0.165952,0.174349,0.013757,0.827526,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,2,ArbiterPuf-0-20260809-23:47:28-406558|phase2|2,0,0,0,sha3,10,,,,1.472252,0.201823,0.007726,0.011493,0.10601,0.002515,0.007333,0.010762,0.098386,0.008216,104,85,43,545,1,0
3,1,2.704781,1.644681,1.0601,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.481286,0.048036,0.270952,0.076943,0.230351,1.181597,0.218576,0.076943,0.127003,0.16277,0.009509,0.829749,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,3,ArbiterPuf-0-20260809-23:47:28-406558|phase2|3,0,0,0,sha3,10,,,,1.493821,0.218576,0.007234,0.010642,0.103005,0.001693,0.007335,0.01046,0.097806,0.002825,104,85,43,545,1,0
4,1,2.682662,1.575453,1.107209,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.414182,0.047635,0.241588,0.075941,0.257305,1.156006,0.192825,0.075941,0.130861,0.189083,0.009389,0.849904,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,4,ArbiterPuf-0-20260809-23:47:28-406558|phase2|4,0,0,0,sha3,10,,,,1.53788,0.192825,0.007155,0.01023,0.099318,0.001563,0.012354,0.010661,0.097595,0.002214,104,85,43,545,1,0
5,1,2.640751,1.564851,1.0759,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.404031,0.047174,0.245457,0.075881,0.227226,1.150265,0.188516,0.075881,0.124298,0.164536,0.009058,0.848674,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,5,ArbiterPuf-0-20260809-23:47:28-406558|phase2|5,0,0,0,sha3,10,,,,1.485893,0.188516,0.007105,0.010351,0.098937,0.001413,0.007165,0.010321,0.097214,0.002014,104,85,43,545,1,0
6,1,2.669408,1.585184,1.084224,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.425374,0.047746,0.252117,0.075411,0.244646,1.152279,0.208476,0.075411,0.124318,0.172502,0.008988,0.839578,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,6,ArbiterPuf-0-20260809-23:47:28-406558|phase2|6,0,0,0,sha3,10,,,,1.508843,0.208476,0.007094,0.01012,0.098756,0.001413,0.007094,0.010611,0.096883,0.002074,104,85,43,545,1,0
7,1,2.834969,1.783408,1.051561,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.617006,0.05,0.242171,0.078056,0.214395,1.34336,0.202935,0.078056,0.128166,0.188,0.01029,0.837166,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,7,ArbiterPuf-0-20260809-23:47:28-406558|phase2|7,0,0,0,sha3,10,,,,1.481733,0.202935,0.007605,0.012054,0.103586,0.001934,0.007393,0.011213,0.098387,0.003407,104,85,43,545,1,0
8,1,2.628717,1.564342,1.064375,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.403881,0.048016,0.258842,0.075491,0.223481,1.147369,0.190049,0.075491,0.12998,0.217914,0.009479,0.840894,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,8,ArbiterPuf-0-20260809-23:47:28-406558|phase2|8,0,0,0,sha3,10,,,,1.541131,0.190049,0.007184,0.01025,0.098427,0.001533,0.007194,0.01059,0.101503,0.002244,104,85,43,545,1,0
9,1,2.639311,1.562789,1.076522,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.402919,0.046833,0.263986,0.075451,0.224282,1.143882,0.193676,0.075451,0.124188,0.158638,0.008968,0.852241,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,9,ArbiterPuf-0-20260809-23:47:28-406558|phase2|9,0,0,0,sha3,10,,,,1.499146,0.193676,0.007064,0.01033,0.098126,0.001393,0.007144,0.0101,0.096453,0.002014,104,85,43,545,1,0
10,1,2.660225,1.603751,1.056474,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.428491,0.049679,0.268297,0.082425,0.224628,1.154774,0.194198,0.082425,0.133336,0.158713,0.01041,0.831845,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,0,ArbiterPuf-1-20260809-23:47:29-406558|phase2|0,1,1,1,sha3,10,,,,1.483483,0.194198,0.007966,0.012224,0.115601,0.002064,0.007466,0.010941,0.098196,0.008568,104,85,43,545,1,0
11,1,2.630468,1.573689,1.056779,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.411395,0.047195,0.264262,0.076533,0.225093,1.149624,0.195981,0.076533,0.131773,0.175273,0.009228,0.831686,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,1,ArbiterPuf-1-20260809-23:47:29-406558|phase2|1,1,1,1,sha3,10,,,,1.496314,0.195981,0.007736,0.01005,0.099167,0.001472,0.007315,0.010512,0.103045,0.002244,104,85,43,545,1,0
12,1,2.728448,1.639223,1.089225,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.479302,0.047214,0.252213,0.075301,0.236517,1.218912,0.195089,0.075301,0.124669,0.169952,0.009319,0.852708,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,2,ArbiterPuf-1-20260809-23:47:29-406558|phase2|2,1,1,1,sha3,10,,,,1.51139,0.195089,0.007174,0.01001,0.098356,0.001513,0.007185,0.01017,0.096943,0.002064,104,85,43,545,1,0
13,1,2.631804,1.556836,1.074968,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.397138,0.046754,0.252408,0.07532,0.246567,1.154073,0.178907,0.07532,0.124889,0.165107,0.009058,0.828402,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,3,ArbiterPuf-1-20260809-23:47:29-406558|phase2|3,1,1,1,sha3,10,,,,1.492483,0.178907,0.007034,0.01006,0.098476,0.001442,0.007235,0.01022,0.097093,0.002014,104,85,43,545,1,0
14,1,2.62363,1.562085,1.061545,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.402007,0.052865,0.271349,0.07553,0.216598,1.15262,0.18542,0.07553,0.124548,0.179885,0.009018,0.844948,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,4,ArbiterPuf-1-20260809-23:47:29-406558|phase2|4,1,1,1,sha3,10,,,,1.51278,0.18542,0.007084,0.01011,0.098427,0.001403,0.007214,0.0102,0.102294,0.002094,104,85,43,545,1,0
15,1,2.648153,1.565714,1.082439,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.406116,0.046884,0.242388,0.07534,0.216014,1.149574,0.192815,0.07534,0.124989,0.159153,0.008918,0.866426,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,5,ArbiterPuf-1-20260809-23:47:29-406558|phase2|5,1,1,1,sha3,10,,,,1.483981,0.192815,0.007063,0.01004,0.098346,0.001432,0.007094,0.010121,0.097424,0.001964,104,85,43,545,1,0
16,0,0.0,0.0,0.0,0,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,0.0,0.0,0.0,0.0,0.0,1.150706,0.172815,0.0,0.0,0.0,0.0,0.0,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,6,ArbiterPuf-1-20260809-23:47:29-406558|phase2|6,1,1,1,sha3,10,,,,0.0,0.172815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
17,1,2.633668,1.55914,1.074528,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.39849,0.047615,0.283112,0.075841,0.221452,1.148111,0.185259,0.075841,0.125881,0.202522,0.008968,0.853076,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,7,ArbiterPuf-1-20260809-23:47:29-406558|phase2|7,1,1,1,sha3,10,,,,1.560162,0.185259,0.007215,0.01036,0.098717,0.001413,0.007164,0.010411,0.096992,0.002074,104,85,43,545,1,0
18,1,2.677127,1.599962,1.077165,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.439542,0.047104,0.244929,0.075751,0.225607,1.185957,0.188766,0.075751,0.125621,0.185028,0.008918,0.851558,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,8,ArbiterPuf-1-20260809-23:47:29-406558|phase2|8,1,1,1,sha3,10,,,,1.507122,0.188766,0.007064,0.0103,0.098808,0.001403,0.007214,0.010151,0.097004,0.002074,104,85,43,545,1,0
