idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
160,1,11.230303,10.146791,1.083512,781,spongent,OMNeT++; module=UavAuthNetwork.uav[0]; config=StadiumSPONGENT,4.193408,1.149401,0.256671,2.849343,0.249728,2.114968,0.931583,2.849343,5.864696,0.183693,0.254697,0.833785,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,0,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|0,0,0,0,spongent,10,,,,1.523876,0.931583,1.962112,1.330741,0.637294,0.003306,1.769561,1.366718,0.24052,0.003837,104,85,43,549,1,0
161,1,9.429129,8.341743,1.087386,781,spongent,OMNeT++; module=UavAuthNetwork.uav[1]; config=StadiumSPONGENT,3.747975,1.121849,0.251082,2.176574,0.240244,2.123314,0.935391,2.176574,4.485074,0.166001,0.24062,0.847142,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,1,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|1,0,0,0,spongent,10,,,,1.50447,0.935391,1.521669,1.080102,0.200625,0.003537,1.532778,1.098967,0.199243,0.002945,104,85,43,549,1,0
162,1,10.685286,9.626485,1.058801,781,spongent,OMNeT++; module=UavAuthNetwork.uav[2]; config=StadiumSPONGENT,3.838704,1.449924,0.244435,2.774823,0.225942,2.171324,0.925592,2.774823,5.22522,0.174349,0.238135,0.832859,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,2,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|2,0,0,0,spongent,10,,,,1.477585,0.925592,1.907209,1.325059,0.224901,0.003416,1.964968,1.481112,0.253554,0.003266,104,85,43,549,1,0
163,1,9.395944,8.330511,1.065433,781,spongent,OMNeT++; module=UavAuthNetwork.uav[3]; config=StadiumSPONGENT,3.751831,1.118012,0.270952,2.170713,0.230351,2.117172,0.933066,2.170713,4.497337,0.16277,0.237254,0.835082,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,3,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|3,0,0,0,spongent,10,,,,1.499154,0.933066,1.526677,1.077396,0.195066,0.002525,1.550201,1.094729,0.190096,0.002865,104,85,43,549,1,0
164,1,9.510559,8.398017,1.112542,781,spongent,OMNeT++; module=UavAuthNetwork.uav[4]; config=StadiumSPONGENT,3.789662,1.164189,0.241588,2.185821,0.257305,2.175361,0.924,2.185821,4.516132,0.189083,0.236713,0.855237,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,4,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|4,0,0,0,spongent,10,,,,1.543213,0.924,1.53894,1.085101,0.197499,0.002805,1.616315,1.098816,0.190687,0.003056,104,85,43,549,1,0
165,1,9.415112,8.333879,1.081233,781,spongent,OMNeT++; module=UavAuthNetwork.uav[5]; config=StadiumSPONGENT,3.733898,1.114977,0.245457,2.175352,0.227226,2.108927,0.939488,2.175352,4.471628,0.164536,0.249277,0.854007,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,5,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|5,0,0,0,spongent,10,,,,1.491226,0.939488,1.526848,1.086544,0.1925,0.002605,1.550703,1.097795,0.190788,0.002855,104,85,43,549,1,0
166,1,9.438171,8.348614,1.089557,781,spongent,OMNeT++; module=UavAuthNetwork.uav[6]; config=StadiumSPONGENT,3.705345,1.112462,0.252117,2.202722,0.244646,2.118155,0.917797,2.202722,4.481287,0.172502,0.237825,0.844911,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,6,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|6,0,0,0,spongent,10,,,,1.514177,0.917797,1.55042,1.077737,0.19247,0.004058,1.531606,1.112662,0.189164,0.002885,104,85,43,549,1,0
167,1,9.569717,8.512822,1.056895,781,spongent,OMNeT++; module=UavAuthNetwork.uav[7]; config=StadiumSPONGENT,3.898336,1.142378,0.242171,2.187875,0.214395,2.205938,0.998479,2.187875,4.5631,0.188,0.238736,0.8425,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,7,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|7,0,0,0,spongent,10,,,,1.487066,0.998479,1.531777,1.089168,0.20303,0.003045,1.554189,1.098967,0.200676,0.003126,104,85,43,549,1,0
168,1,9.530684,8.460976,1.069708,781,spongent,OMNeT++; module=UavAuthNetwork.uav[8]; config=StadiumSPONGENT,3.837863,1.118553,0.258842,2.191251,0.223481,2.216057,0.926895,2.191251,4.477931,0.217914,0.240611,0.846227,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,8,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|8,0,0,0,spongent,10,,,,1.546465,0.926895,1.544681,1.076073,0.199834,0.002826,1.535626,1.105218,0.191298,0.003066,104,85,43,549,1,0
169,1,9.448434,8.366578,1.081856,781,spongent,OMNeT++; module=UavAuthNetwork.uav[9]; config=StadiumSPONGENT,3.713821,1.123623,0.263986,2.207872,0.224282,2.120529,0.915894,2.207872,4.488841,0.158638,0.237013,0.857574,StadiumSPONGENT,StadiumSPONGENT-0-20260809-23:07:20-359377,9,StadiumSPONGENT-0-20260809-23:07:20-359377|phase2|9,0,0,0,spongent,10,,,,1.50448,0.915894,1.544531,1.091062,0.200654,0.002605,1.561382,1.093436,0.190727,0.002806,104,85,43,549,1,0
170,1,10.400454,9.338647,1.061807,781,spongent,OMNeT++; module=UavAuthNetwork.uav[0]; config=StadiumSPONGENT,3.728648,1.1219,0.268297,2.685466,0.224628,2.117252,0.931123,2.685466,4.499802,0.158713,0.239067,0.837179,StadiumSPONGENT,StadiumSPONGENT-1-20260809-23:07:21-359377,0,StadiumSPONGENT-1-20260809-23:07:21-359377|phase2|0,1,1,1,spongent,10,,,,1.488817,0.931123,1.87525,1.180099,0.259626,0.002976,1.558036,1.104587,0.196136,0.004549,104,85,43,549,1,0
171,1,9.436196,8.374083,1.062113,781,spongent,OMNeT++; module=UavAuthNetwork.uav[1]; config=StadiumSPONGENT,3.696669,1.120437,0.264262,2.215807,0.225093,2.109909,0.910664,2.215807,4.481657,0.175273,0.2458,0.83702,StadiumSPONGENT,StadiumSPONGENT-1-20260809-23:07:21-359377,1,StadiumSPONGENT-1-20260809-23:07:21-359377|phase2|1,1,1,1,spongent,10,,,,1.501648,0.910664,1.556753,1.088568,0.194124,0.002635,1.546524,1.106189,0.190336,0.002905,104,85,43,549,1,0
172,1,9.540286,8.445727,1.094559,781,spongent,OMNeT++; module=UavAuthNetwork.uav[2]; config=StadiumSPONGENT,3.731063,1.107943,0.252213,2.23879,0.236517,2.107996,0.923438,2.23879,4.518106,0.169952,0.237084,0.858041,StadiumSPONGENT,StadiumSPONGENT-1-20260809-23:07:21-359377,2,StadiumSPONGENT-1-20260809-23:07:21-359377|phase2|2,1,1,1,spongent,10,,,,1.516723,0.923438,1.552895,1.097224,0.237795,0.002775,1.53872,1.104237,0.200435,0.002886,104,85,43,549,1,0
