idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,sha3_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
0,1,0.476389,0.011389,0.465,104,sha3,0.006872,pair=UAV0<->UAV1; config=StadiumSHA3,0.002334,0.003285,0.154,0.003526,0.167,0.002244,0.144,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,1
1,1,0.457986,0.009986,0.448,104,sha3,0.006799,pair=UAV0<->UAV2; config=StadiumSHA3,0.001813,0.002464,0.158,0.003436,0.155,0.002273,0.135,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,2
2,1,0.483925,0.009925,0.474,104,sha3,0.00665,pair=UAV0<->UAV3; config=StadiumSHA3,0.001743,0.002604,0.155,0.003435,0.186,0.002143,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,3
3,1,0.46662,0.01262,0.454,104,sha3,0.006631,pair=UAV0<->UAV4; config=StadiumSHA3,0.004157,0.002915,0.155,0.003375,0.166,0.002173,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,4
4,1,0.479815,0.009815,0.47,104,sha3,0.00663,pair=UAV0<->UAV5; config=StadiumSHA3,0.001723,0.002494,0.164,0.003405,0.168,0.002193,0.138,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,5
5,1,0.495964,0.009964,0.486,104,sha3,0.006784,pair=UAV0<->UAV6; config=StadiumSHA3,0.001642,0.002494,0.2,0.003485,0.154,0.002343,0.132,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,6
6,1,0.454757,0.009757,0.445,104,sha3,0.006639,pair=UAV0<->UAV7; config=StadiumSHA3,0.001613,0.002474,0.158,0.003386,0.154,0.002284,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,7
7,1,0.512786,0.009786,0.503,104,sha3,0.006621,pair=UAV0<->UAV8; config=StadiumSHA3,0.001663,0.002524,0.168,0.003425,0.176,0.002174,0.159,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,8
8,1,0.487015,0.010015,0.477,104,sha3,0.006691,pair=UAV0<->UAV9; config=StadiumSHA3,0.001542,0.002484,0.155,0.003786,0.155,0.002203,0.167,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,0,9
9,1,0.468824,0.009824,0.459,104,sha3,0.00673,pair=UAV1<->UAV2; config=StadiumSHA3,0.001672,0.002524,0.173,0.003445,0.154,0.002183,0.132,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,2
10,1,0.452025,0.010025,0.442,104,sha3,0.006782,pair=UAV1<->UAV3; config=StadiumSHA3,0.001712,0.002715,0.154,0.003355,0.155,0.002243,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,3
11,1,0.483766,0.009766,0.474,104,sha3,0.006619,pair=UAV1<->UAV4; config=StadiumSHA3,0.001683,0.002514,0.155,0.003326,0.174,0.002243,0.145,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,4
12,1,0.530876,0.009876,0.521,104,sha3,0.006741,pair=UAV1<->UAV5; config=StadiumSHA3,0.001633,0.002524,0.154,0.003425,0.207,0.002294,0.16,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,5
13,1,0.473001,0.013001,0.46,104,sha3,0.009534,pair=UAV1<->UAV6; config=StadiumSHA3,0.001603,0.002835,0.154,0.00639,0.154,0.002173,0.152,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,6
14,1,0.505745,0.009745,0.496,104,sha3,0.006642,pair=UAV1<->UAV7; config=StadiumSHA3,0.001592,0.002514,0.169,0.003406,0.179,0.002233,0.148,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,7
15,1,0.450884,0.009884,0.441,104,sha3,0.00676,pair=UAV1<->UAV8; config=StadiumSHA3,0.001672,0.002624,0.154,0.003365,0.154,0.002223,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,8
16,1,0.472764,0.009764,0.463,104,sha3,0.006691,pair=UAV1<->UAV9; config=StadiumSHA3,0.001682,0.002574,0.156,0.003345,0.174,0.002163,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,1,9
17,1,0.490946,0.009946,0.481,104,sha3,0.007412,pair=UAV2<->UAV3; config=StadiumSHA3,0.001533,0.001983,0.154,0.002634,0.155,0.003796,0.172,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,3
18,1,0.487902,0.007902,0.48,104,sha3,0.005399,pair=UAV2<->UAV4; config=StadiumSHA3,0.001602,0.001983,0.185,0.002604,0.162,0.001713,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,4
19,1,0.518033,0.008033,0.51,104,sha3,0.005398,pair=UAV2<->UAV5; config=StadiumSHA3,0.001633,0.002003,0.184,0.002664,0.191,0.001733,0.135,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,5
20,1,0.467084,0.008084,0.459,104,sha3,0.005466,pair=UAV2<->UAV6; config=StadiumSHA3,0.001603,0.002054,0.154,0.002624,0.155,0.001803,0.15,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,6
21,1,0.460294,0.008294,0.452,104,sha3,0.005387,pair=UAV2<->UAV7; config=StadiumSHA3,0.001643,0.002284,0.154,0.002574,0.165,0.001793,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,7
22,1,0.502113,0.008113,0.494,104,sha3,0.005459,pair=UAV2<->UAV8; config=StadiumSHA3,0.001553,0.002203,0.153,0.002634,0.154,0.001723,0.187,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,8
23,1,0.536933,0.007933,0.529,104,sha3,0.005458,pair=UAV2<->UAV9; config=StadiumSHA3,0.001633,0.001963,0.224,0.002625,0.154,0.001712,0.151,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,2,9
24,1,0.486501,0.007501,0.479,104,sha3,0.005238,pair=UAV3<->UAV4; config=StadiumSHA3,0.001272,0.001953,0.186,0.002554,0.154,0.001722,0.139,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,4
25,1,0.464512,0.007512,0.457,104,sha3,0.005199,pair=UAV3<->UAV5; config=StadiumSHA3,0.001212,0.001963,0.155,0.002624,0.169,0.001713,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,5
26,1,0.485542,0.007542,0.478,104,sha3,0.005229,pair=UAV3<->UAV6; config=StadiumSHA3,0.001231,0.001974,0.177,0.002604,0.16,0.001733,0.141,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,6
27,1,0.447771,0.007771,0.44,104,sha3,0.00534,pair=UAV3<->UAV7; config=StadiumSHA3,0.001202,0.002153,0.154,0.002644,0.153,0.001772,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,7
28,1,0.504566,0.009566,0.495,104,sha3,0.007122,pair=UAV3<->UAV8; config=StadiumSHA3,0.003235,0.001963,0.166,0.002675,0.195,0.001693,0.134,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,8
29,1,0.493445,0.009445,0.484,104,sha3,0.00704,pair=UAV3<->UAV9; config=StadiumSHA3,0.001182,0.001963,0.155,0.004567,0.196,0.001733,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,3,9
30,1,0.447771,0.007771,0.44,104,sha3,0.005328,pair=UAV4<->UAV5; config=StadiumSHA3,0.001211,0.002163,0.153,0.002654,0.154,0.001743,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,4,5
31,1,0.458603,0.007603,0.451,104,sha3,0.005178,pair=UAV4<->UAV6; config=StadiumSHA3,0.001262,0.001963,0.154,0.002685,0.157,0.001693,0.14,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,4,6
32,1,0.450726,0.009726,0.441,104,sha3,0.007253,pair=UAV4<->UAV7; config=StadiumSHA3,0.001262,0.002003,0.154,0.002625,0.154,0.003836,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,4,7
33,1,0.452575,0.009575,0.443,104,sha3,0.007212,pair=UAV4<->UAV8; config=StadiumSHA3,0.003235,0.002003,0.154,0.002614,0.156,0.001723,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,4,8
34,1,0.475482,0.007482,0.468,104,sha3,0.005159,pair=UAV4<->UAV9; config=StadiumSHA3,0.001202,0.001953,0.154,0.002634,0.177,0.001693,0.137,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,4,9
35,1,0.461572,0.007572,0.454,104,sha3,0.005199,pair=UAV5<->UAV6; config=StadiumSHA3,0.001161,0.001963,0.157,0.002685,0.154,0.001763,0.143,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,5,6
36,1,0.461821,0.007821,0.454,104,sha3,0.005178,pair=UAV5<->UAV7; config=StadiumSHA3,0.001192,0.002253,0.155,0.002664,0.166,0.001712,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,5,7
37,1,0.448623,0.007623,0.441,104,sha3,0.005267,pair=UAV5<->UAV8; config=StadiumSHA3,0.001232,0.001964,0.154,0.002694,0.154,0.001733,0.133,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,5,8
38,1,0.463672,0.007672,0.456,104,sha3,0.005188,pair=UAV5<->UAV9; config=StadiumSHA3,0.001222,0.002103,0.154,0.002635,0.17,0.001712,0.132,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,5,9
39,1,0.464732,0.007732,0.457,104,sha3,0.005319,pair=UAV6<->UAV7; config=StadiumSHA3,0.001152,0.002144,0.153,0.002664,0.154,0.001772,0.15,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,6,7
40,1,0.475563,0.007563,0.468,104,sha3,0.005217,pair=UAV6<->UAV8; config=StadiumSHA3,0.001202,0.002013,0.155,0.002585,0.161,0.001763,0.152,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,6,8
41,1,0.458703,0.007703,0.451,104,sha3,0.005308,pair=UAV6<->UAV9; config=StadiumSHA3,0.001402,0.002024,0.163,0.002534,0.154,0.001743,0.134,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,6,9
42,1,0.485159,0.012159,0.473,104,sha3,0.008282,pair=UAV7<->UAV8; config=StadiumSHA3,0.001241,0.003596,0.178,0.004417,0.155,0.002905,0.14,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,7,8
43,1,0.4555,0.0125,0.443,104,sha3,0.008604,pair=UAV7<->UAV9; config=StadiumSHA3,0.001212,0.004167,0.155,0.004166,0.154,0.002955,0.134,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,7,9
44,1,0.464113,0.013113,0.451,104,sha3,0.008962,pair=UAV8<->UAV9; config=StadiumSHA3,0.002104,0.003396,0.153,0.004638,0.154,0.002975,0.144,StadiumSHA3,StadiumSHA3-0-20260428-20:34:26-419885,8,9
