idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,initiator,pair_id,mac_ms,kdf_ms,dh_ms
3300,1,0.457331,1.656887,0.215588,197,spongent,pair=UAV0<->UAV1; config=StadiumSPONGENT,0.478676,0.0,0.0,1.178211,0.215588,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,1,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|1,0,0,0,spongent,10,,,,1,0-1,0.865622,0.630698,0.152693
3301,1,0.445492,1.717489,0.205679,197,spongent,pair=UAV0<->UAV2; config=StadiumSPONGENT,0.440916,0.0,0.0,1.276573,0.205679,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,2,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|2,0,0,0,spongent,10,,,,1,0-2,0.890779,0.674148,0.144719
3302,1,0.446536,1.643373,0.206986,197,spongent,pair=UAV0<->UAV3; config=StadiumSPONGENT,0.488825,0.0,0.0,1.154548,0.206986,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,3,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|3,0,0,0,spongent,10,,,,1,0-3,0.855254,0.6428,0.139268
3303,1,0.472762,1.71792,0.20765,197,spongent,pair=UAV0<->UAV4; config=StadiumSPONGENT,0.478275,0.0,0.0,1.239645,0.20765,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,4,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|4,0,0,0,spongent,10,,,,1,0-4,0.903633,0.673757,0.132997
3304,1,0.483566,1.618046,0.227301,197,spongent,pair=UAV0<->UAV5; config=StadiumSPONGENT,0.478516,0.0,0.0,1.13953,0.227301,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,5,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|5,0,0,0,spongent,10,,,,1,0-5,0.831208,0.659511,0.122417
3305,1,0.457181,1.757594,0.21484,197,spongent,pair=UAV0<->UAV6; config=StadiumSPONGENT,0.466424,0.0,0.0,1.29117,0.21484,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,6,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|6,0,0,0,spongent,10,,,,1,0-6,0.90747,0.704665,0.137795
3306,1,0.455948,1.672767,0.214391,197,spongent,pair=UAV0<->UAV7; config=StadiumSPONGENT,0.490919,0.0,0.0,1.181848,0.214391,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,7,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|7,0,0,0,spongent,10,,,,1,0-7,0.866244,0.658058,0.136523
3307,1,0.472572,1.534301,0.217666,197,spongent,pair=UAV0<->UAV8; config=StadiumSPONGENT,0.484828,0.0,0.0,1.049473,0.217666,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,8,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|8,0,0,0,spongent,10,,,,1,0-8,0.788469,0.611572,0.121716
3308,1,0.479787,1.706339,0.246191,197,spongent,pair=UAV0<->UAV9; config=StadiumSPONGENT,0.480119,0.0,0.0,1.22622,0.246191,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,0,9,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|0|9,0,0,0,spongent,10,,,,1,0-9,0.853851,0.717217,0.129199
3309,1,0.363096,0.655023,0.389251,197,spongent,pair=UAV1<->UAV0; config=StadiumSPONGENT,0.0,0.655023,0.241743,0.0,0.0,0.147508,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,0,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|0,0,0,0,spongent,10,,,,0,0-1,0.851337,0.578621,0.122346
3310,1,0.492396,1.637992,0.217589,197,spongent,pair=UAV1<->UAV2; config=StadiumSPONGENT,0.519602,0.0,0.0,1.11839,0.217589,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,2,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|2,0,0,0,spongent,10,,,,1,1-2,0.850305,0.649712,0.130442
3311,1,0.477573,2.021351,0.21955,197,spongent,pair=UAV1<->UAV3; config=StadiumSPONGENT,0.441156,0.0,0.0,1.580195,0.21955,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,3,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|3,0,0,0,spongent,10,,,,1,1-3,1.029144,0.848592,0.134628
3312,1,0.446762,1.618145,0.215903,197,spongent,pair=UAV1<->UAV4; config=StadiumSPONGENT,0.393438,0.0,0.0,1.224707,0.215903,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,4,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|4,0,0,0,spongent,10,,,,1,1-4,0.811612,0.687402,0.11369
3313,1,0.448277,1.519442,0.214341,197,spongent,pair=UAV1<->UAV5; config=StadiumSPONGENT,0.371297,0.0,0.0,1.148145,0.214341,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,5,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|5,0,0,0,spongent,10,,,,1,1-5,0.803528,0.5996,0.110244
3314,1,0.463444,1.524092,0.212328,197,spongent,pair=UAV1<->UAV6; config=StadiumSPONGENT,0.401764,0.0,0.0,1.122328,0.212328,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,6,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|6,0,0,0,spongent,10,,,,1,1-6,0.796324,0.604349,0.112599
3315,1,0.44582,1.580716,0.212228,197,spongent,pair=UAV1<->UAV7; config=StadiumSPONGENT,0.40004,0.0,0.0,1.180676,0.212228,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,7,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|7,0,0,0,spongent,10,,,,1,1-7,0.836938,0.614508,0.120914
3316,1,0.469053,1.515506,0.228238,197,spongent,pair=UAV1<->UAV8; config=StadiumSPONGENT,0.400191,0.0,0.0,1.115315,0.228238,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,8,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|8,0,0,0,spongent,10,,,,1,1-8,0.770607,0.626931,0.111025
3317,1,0.492492,1.487023,0.241074,197,spongent,pair=UAV1<->UAV9; config=StadiumSPONGENT,0.392186,0.0,0.0,1.094837,0.241074,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,1,9,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|1|9,0,0,0,spongent,10,,,,1,1-9,0.801272,0.570846,0.10761
3318,1,0.342663,0.671513,0.376798,197,spongent,pair=UAV2<->UAV0; config=StadiumSPONGENT,0.0,0.671513,0.239813,0.0,0.0,0.136984,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,2,0,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|2|0,0,0,0,spongent,10,,,,0,0-2,0.818936,0.60463,0.120813
3319,1,0.367249,0.657317,0.424467,197,spongent,pair=UAV2<->UAV1; config=StadiumSPONGENT,0.0,0.657317,0.274807,0.0,0.0,0.14966,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,2,1,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|2|1,0,0,0,spongent,10,,,,0,1-2,0.833743,0.601413,0.116556
3320,1,0.449467,1.595885,0.220276,197,spongent,pair=UAV2<->UAV3; config=StadiumSPONGENT,0.386265,0.0,0.0,1.20962,0.220276,0.0,StadiumSPONGENT,StadiumSPONGENT-0-20260922-20:31:41-1127338,2,3,StadiumSPONGENT-0-20260922-20:31:41-1127338|phase3|2|3,0,0,0,spongent,10,,,,1,2-3,0.854381,0.615039,0.121946
