scheme,operation,key_bits,curve,iterations,mean_us,sd_us,median_us,p05_us,p95_us
rsa2048,sign,2048,,200,541.745,23.247,530.306,522.535,572.555
rsa2048,verify,2048,,2000,17.255,0.806,16.918,16.612,18.570
ecdsa-p256,sign,256,P-256,2000,21.325,1.794,20.376,20.044,24.918
ecdsa-p256,verify,256,P-256,2000,57.769,1.682,57.174,56.477,60.268
ecdh-p256,derive,256,P-256,2000,55.545,8.718,51.704,47.852,72.152
x25519,keygen,256,Curve25519,2000,42.922,9.877,36.100,33.596,56.206
x25519,derive,256,Curve25519,2000,64.753,2.305,64.094,63.623,68.321
ours-sha3,hash160,0,,5000,0.541,0.218,0.485,0.480,0.645
ours-sha3,mac,0,,5000,2.206,0.501,1.972,1.835,3.292
ours-sha3,kdf,0,,5000,4.360,0.432,4.146,4.090,5.310
ours-sha3,aead_seal,0,,5000,0.671,0.046,0.668,0.629,0.745
