idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
0,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,aead_seal,10,0.037884,3.7884,2.2295,9.7853
1,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_derive,10,0.638944,63.8944,63.6125,66.0339
2,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_keygen,10,0.335478,33.5478,33.4265,34.2421
3,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,extract,10,0.026823,2.6823,2.555,3.1666
4,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,kdf,180,0.885557,4.919761,4.298,7.7955
5,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac,10,0.024911,2.4911,2.485,2.53555
6,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac_verify,20,0.050558,2.5279,2.334,3.35445
7,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,aead_open,1,0.003738,3.738,3.738,3.738
8,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_derive,10,0.694787,69.4787,63.7725,92.56
9,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_keygen,10,0.488092,48.8092,33.041,119.0399
10,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,extract,1,0.003787,3.787,3.787,3.787
11,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,kdf,21,0.1054,5.019048,4.97,5.912
12,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac,20,0.048027,2.40135,2.1395,3.32725
13,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac_verify,10,0.023736,2.3736,2.144,3.21215
14,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,aead_open,1,0.001503,1.503,1.503,1.503
15,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_derive,10,0.649555,64.9555,63.582,71.004
16,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_keygen,10,0.335721,33.5721,33.136,35.09355
17,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,extract,1,0.003487,3.487,3.487,3.487
18,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[1],uav,kdf,21,0.103326,4.920286,4.91,5.651
