idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,num_enrolled,auth_attempts,auth_successes,auth_success_rate,device_auth_success_rate,fe_reproduction_failures,successes,trials,rate,wilson_lo,wilson_hi,rule_of_three_upper_failure
0,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
1,ArbiterPuf-1-20260809-23:47:29-406558,ArbiterPuf,1,1,1,sha3,10,,,,10,9,9,1.0,0.9,1,9,10,0.9,0.595843615,0.98212425,
2,ArbiterPuf-2-20260809-23:47:29-406558,ArbiterPuf,2,2,2,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
3,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
4,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
5,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
6,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
7,ArbiterPuf-7-20260809-23:47:32-406558,ArbiterPuf,7,7,7,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
8,ArbiterPuf-8-20260809-23:47:33-406558,ArbiterPuf,8,8,8,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
9,ArbiterPuf-9-20260809-23:47:34-406558,ArbiterPuf,9,9,9,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
10,Baseline5UAV-0-20260809-23:47:27-406517,Baseline5UAV,0,0,0,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
11,Baseline5UAV-1-20260809-23:47:27-406517,Baseline5UAV,1,1,1,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
12,Baseline5UAV-2-20260809-23:47:27-406517,Baseline5UAV,2,2,2,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
13,Baseline5UAV-3-20260809-23:47:27-406517,Baseline5UAV,3,3,3,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
14,Baseline5UAV-4-20260809-23:47:27-406517,Baseline5UAV,4,4,4,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
15,Baseline5UAV-5-20260809-23:47:27-406517,Baseline5UAV,5,5,5,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
16,Baseline5UAV-6-20260809-23:47:27-406517,Baseline5UAV,6,6,6,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
17,Baseline5UAV-7-20260809-23:47:27-406517,Baseline5UAV,7,7,7,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
18,Baseline5UAV-8-20260809-23:47:27-406517,Baseline5UAV,8,8,8,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
19,Baseline5UAV-9-20260809-23:47:27-406517,Baseline5UAV,9,9,9,sha3,5,,,,5,5,5,1.0,1.0,0,5,5,1.0,0.565508505,1.0,0.6
20,HighNoise-0-20260809-23:47:34-406846,HighNoise,0,0,0,sha3,10,,,,10,9,9,1.0,0.9,1,9,10,0.9,0.595843615,0.98212425,
21,HighNoise-1-20260809-23:47:35-406846,HighNoise,1,1,1,sha3,10,,,,10,7,7,1.0,0.7,3,7,10,0.7,0.39677322,0.892210713,
22,HighNoise-2-20260809-23:47:36-406846,HighNoise,2,2,2,sha3,10,,,,10,9,9,1.0,0.9,1,9,10,0.9,0.595843615,0.98212425,
23,HighNoise-3-20260809-23:47:36-406846,HighNoise,3,3,3,sha3,10,,,,10,8,8,1.0,0.8,2,8,10,0.8,0.490156847,0.943319052,
24,HighNoise-4-20260809-23:47:37-406846,HighNoise,4,4,4,sha3,10,,,,10,9,9,1.0,0.9,1,9,10,0.9,0.595843615,0.98212425,
25,HighNoise-5-20260809-23:47:38-406846,HighNoise,5,5,5,sha3,10,,,,10,5,5,1.0,0.5,5,5,10,0.5,0.236589594,0.763410406,
26,HighNoise-6-20260809-23:47:38-406846,HighNoise,6,6,6,sha3,10,,,,10,8,8,1.0,0.8,2,8,10,0.8,0.490156847,0.943319052,
27,HighNoise-7-20260809-23:47:39-406846,HighNoise,7,7,7,sha3,10,,,,10,7,7,1.0,0.7,3,7,10,0.7,0.39677322,0.892210713,
28,HighNoise-8-20260809-23:47:40-406846,HighNoise,8,8,8,sha3,10,,,,10,9,9,1.0,0.9,1,9,10,0.9,0.595843615,0.98212425,
29,HighNoise-9-20260809-23:47:40-406846,HighNoise,9,9,9,sha3,10,,,,10,8,8,1.0,0.8,2,8,10,0.8,0.490156847,0.943319052,
30,StadiumSHA3-0-20260809-23:47:24-406373,StadiumSHA3,0,0,0,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
31,StadiumSHA3-1-20260809-23:47:24-406373,StadiumSHA3,1,1,1,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
32,StadiumSHA3-2-20260809-23:47:24-406373,StadiumSHA3,2,2,2,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
33,StadiumSHA3-3-20260809-23:47:24-406373,StadiumSHA3,3,3,3,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
34,StadiumSHA3-4-20260809-23:47:24-406373,StadiumSHA3,4,4,4,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
35,StadiumSHA3-5-20260809-23:47:24-406373,StadiumSHA3,5,5,5,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
36,StadiumSHA3-6-20260809-23:47:24-406373,StadiumSHA3,6,6,6,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
37,StadiumSHA3-7-20260809-23:47:24-406373,StadiumSHA3,7,7,7,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
38,StadiumSHA3-8-20260809-23:47:25-406373,StadiumSHA3,8,8,8,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
39,StadiumSHA3-9-20260809-23:47:25-406373,StadiumSHA3,9,9,9,sha3,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
40,StadiumSPONGENT-0-20260809-23:47:25-406405,StadiumSPONGENT,0,0,0,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
41,StadiumSPONGENT-1-20260809-23:47:25-406405,StadiumSPONGENT,1,1,1,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
42,StadiumSPONGENT-2-20260809-23:47:25-406405,StadiumSPONGENT,2,2,2,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
43,StadiumSPONGENT-3-20260809-23:47:25-406405,StadiumSPONGENT,3,3,3,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
44,StadiumSPONGENT-4-20260809-23:47:25-406405,StadiumSPONGENT,4,4,4,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
45,StadiumSPONGENT-5-20260809-23:47:26-406405,StadiumSPONGENT,5,5,5,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
46,StadiumSPONGENT-6-20260809-23:47:26-406405,StadiumSPONGENT,6,6,6,spongent,10,,,,10,10,10,1.0,1.0,0,10,10,1.0,0.722459831,1.0,0.3
