config,status,run_wallclock_ms,log_file,error,cmd,started_at_iso,finished_at_iso,host,cpu_model,openssl_version,omnetpp_version,git_commit,dirty
StadiumSHA3,ok,933.267,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/StadiumSHA3.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c StadiumSHA3,2026-09-22T20:31:40,2026-09-22T20:31:41,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
StadiumSPONGENT,ok,5998.521,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/StadiumSPONGENT.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c StadiumSPONGENT,2026-09-22T20:31:41,2026-09-22T20:31:47,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
Baseline5UAV,ok,282.011,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/Baseline5UAV.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c Baseline5UAV,2026-09-22T20:31:47,2026-09-22T20:31:48,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
Swarm20,ok,2395.592,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/Swarm20.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c Swarm20,2026-09-22T20:31:48,2026-09-22T20:31:50,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
ArbiterPuf,ok,17631.816,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/ArbiterPuf.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c ArbiterPuf,2026-09-22T20:31:50,2026-09-22T20:32:08,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
HighNoise,ok,20293.161,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/HighNoise.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c HighNoise,2026-09-22T20:32:08,2026-09-22T20:32:28,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
NoiseSweep,ok,35198.311,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/NoiseSweep.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c NoiseSweep,2026-09-22T20:32:28,2026-09-22T20:33:03,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
AtkGsImpersonate,ok,67.68,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/AtkGsImpersonate.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c AtkGsImpersonate,2026-09-22T20:33:03,2026-09-22T20:33:03,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
AtkLegacyGsImpersonate,ok,70.032,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/AtkLegacyGsImpersonate.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c AtkLegacyGsImpersonate,2026-09-22T20:33:03,2026-09-22T20:33:03,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
AtkReplayM1,ok,151.93,/home/md-ziyad-hussain/UAV-OMNET++/simulations/results/logs/AtkReplayM1.log,,/home/md-ziyad-hussain/UAV-OMNET++/src/uavauthsim -u Cmdenv -n /home/md-ziyad-hussain/UAV-OMNET++/src;/home/md-ziyad-hussain/UAV-OMNET++/simulations -f /home/md-ziyad-hussain/UAV-OMNET++/simulations/omnetpp.ini -c AtkReplayM1,2026-09-22T20:33:03,2026-09-22T20:33:03,ziyad,AMD Ryzen 5 5625U with Radeon Graphics,OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026),OMNeT++ Discrete Event Simulation  (C) 1992-2025 Andras Varga  OpenSim Ltd.,cfb41e6,1
