config,hash_mode,num_runs,phase2_mean_latency_ms,phase2_mean_compute_ms,phase2_mean_net_ms,phase2_mean_overhead_bytes,phase3_mean_latency_ms,phase3_mean_compute_ms,phase3_mean_net_ms,phase3_mean_overhead_bytes,auth_success_rate,device_auth_success_rate,phase2_latency_ci95_lo,phase2_latency_ci95_hi,n_runs
ArbiterPuf,sha3,30,2.721608,1.655054,1.066554,771.82,0.414408,0.084372,0.304612,196.014126,1.0,0.993333,2.691570208,2.751645218,30
AtkCredentialSniff,sha3,5,2.625072,1.551562,1.07351,777.0,0.41785,0.082935,0.307059,197.0,1.0,1.0,2.556297109,2.693846491,5
AtkGsImpersonate,sha3,5,1.395686,1.370469,0.025217,172.0,0.0,0.0,0.0,0.0,0.0,0.0,1.366425447,1.424946753,5
AtkLegacyGsImpersonate,sha3,5,1.415793,1.390576,0.025217,176.3,0.0,0.0,0.0,0.0,0.0,0.0,1.369744803,1.461840677,5
AtkReplayM1,sha3,5,2.635278,1.560182,1.075096,777.0,0.417696,0.083654,0.306967,197.0,0.909091,1.0,2.572838648,2.697716472,5
Baseline5UAV,sha3,30,2.305017,1.590811,0.714206,507.0,0.416253,0.086275,0.306174,197.0,1.0,1.0,2.279927222,2.330107218,30
BaselineECDSA,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0
BaselineRSA,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0
HighNoise,sha3,30,2.225199,1.340609,0.884591,639.73,0.369587,0.071647,0.274428,179.308943,1.0,0.823333,2.097318077,2.353080729,30
MobilityLinear,sha3,30,2.640251,1.56669,1.073561,777.0,0.416067,0.085267,0.305658,197.0,1.0,1.0,2.623573311,2.656929575,30
MobilityRandomWalk,sha3,30,2.664848,1.591195,1.073653,777.0,0.417029,0.08398,0.30638,197.0,1.0,1.0,2.644401112,2.685295228,30
NoiseSweep,sha3,63,3.467893,2.554359,0.913534,661.066667,0.409397,0.080175,0.300665,193.679852,0.904762,0.850794,2.972357753,3.963428721,63
StadiumSHA3,sha3,30,2.676674,1.60302,1.073653,777.0,0.417075,0.086397,0.306414,197.0,1.0,1.0,2.644991629,2.708355631,30
StadiumSPONGENT,spongent,30,5.532302,4.453315,1.078987,781.0,0.417075,0.967654,0.306414,197.0,1.0,1.0,5.501589224,5.563014342,30
Swarm20,sha3,30,3.368606,1.575716,1.79289,1317.0,0.416366,0.084006,0.306099,197.0,1.0,1.0,3.351822264,3.385389796,30
