config,suite,num_uavs,puf_ber,fe_profile,attack_mode,phase,metric,unit,n_runs,n_obs_total,obs_per_run_mean,mean_of_run_means,sd_of_run_means,sem,df,t_crit,ci95_lo,ci95_hi,pooled_mean,pooled_sd,median,p05,p95,min,max,ci_method
Baseline5UAV,sha3,5,,,,phase2,latency_ms,ms,30,150,5.0,1.17171324,0.011215382,0.002047639,29,2.045,1.167525818,1.175900662,1.17171324,0.025142406,1.168177,1.1407523,1.2122024,1.1286,1.339635,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,compute_ms,ms,30,150,5.0,0.457506833,0.009219546,0.001683251,29,2.045,0.454064584,0.460949082,0.457506833,0.019770118,0.455493,0.44174605,0.47221405,0.436598,0.654972,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,net_ms,ms,30,150,5.0,0.714206407,0.007147189,0.001304892,29,2.045,0.711537902,0.716874912,0.714206407,0.017532683,0.7132195,0.6869477,0.74435365,0.682837,0.768654,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,wall_latency_ms,ms,30,150,5.0,1.14421206,0.010404673,0.001899625,29,2.045,1.140327327,1.148096793,1.14421206,0.024926445,1.142397,1.1067979,1.18877785,1.091446,1.233798,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,overhead_bytes,B,30,150,5.0,507.0,0.0,0.0,29,2.045,507.0,507.0,507.0,0.0,507.0,507.0,507.0,507.0,507.0,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,puf_eval_ms,ms,30,150,5.0,0.033119033,0.001222784,0.000223249,29,2.045,0.032662489,0.033575577,0.033119033,0.002510783,0.0326955,0.0322945,0.03415965,0.032089,0.060172,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,fe_rep_ms,ms,30,150,5.0,0.194767553,0.003650432,0.000666475,29,2.045,0.193404612,0.196130494,0.194767553,0.00666715,0.193749,0.18600545,0.206574,0.18323,0.23225,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,mac_ms,ms,30,150,5.0,0.00718496,6.7874e-05,1.2392e-05,29,2.045,0.007159618,0.007210302,0.00718496,0.00030577,0.007073,0.0069329,0.00773905,0.006834,0.008987,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,kdf_ms,ms,30,150,5.0,0.010172793,0.000300387,5.4843e-05,29,2.045,0.010060639,0.010284947,0.010172793,0.000705673,0.0099985,0.0097925,0.0108055,0.009707,0.017022,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase2,dh_ms,ms,30,150,5.0,0.10311972,0.005826488,0.001063766,29,2.045,0.100944318,0.105295122,0.10311972,0.013806373,0.1002505,0.09815745,0.108836,0.097661,0.26512,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase3,latency_ms,ms,30,600,20.0,0.416252547,0.005539708,0.001011408,29,2.045,0.414184218,0.418320876,0.416252547,0.049974739,0.4310075,0.34992695,0.48403975,0.340059,0.527288,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase3,compute_ms,ms,30,600,20.0,0.082305322,0.000603574,0.000110197,29,2.045,0.082079969,0.082530675,0.082305322,0.036459671,0.085313,0.044903,0.123362,0.044392,0.131353,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase3,net_ms,ms,30,600,20.0,0.306174275,0.003876549,0.000707758,29,2.045,0.30472691,0.30762164,0.306174275,0.087338979,0.3144045,0.2075669,0.4156307,0.204728,0.45088,two-stage t; unit=run; df=R-1
Baseline5UAV,sha3,5,,,,phase3,overhead_bytes,B,30,600,20.0,197.0,0.0,0.0,29,2.045,197.0,197.0,197.0,0.0,197.0,197.0,197.0,197.0,197.0,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,latency_ms,ms,30,300,10.0,1.642926417,0.095676589,0.017468075,29,2.045,1.607204203,1.678648631,1.642926417,0.11898894,1.597093,1.52556615,1.90266905,1.5049,1.980488,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,compute_ms,ms,30,300,10.0,0.56927313,0.096632287,0.017642561,29,2.045,0.533194093,0.605352167,0.56927313,0.118215781,0.5167575,0.45863145,0.83383215,0.444875,0.892452,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,net_ms,ms,30,300,10.0,1.073653287,0.005476727,0.000999909,29,2.045,1.071608473,1.075698101,1.073653287,0.017660976,1.07122,1.04940425,1.1050716,1.042062,1.142258,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,wall_latency_ms,ms,30,300,10.0,1.502819457,0.006143426,0.001121631,29,2.045,1.500525722,1.505113192,1.502819457,0.022880753,1.5013245,1.46847825,1.5393794,1.454595,1.581848,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,overhead_bytes,B,30,300,10.0,777.0,0.0,0.0,29,2.045,777.0,777.0,777.0,0.0,777.0,777.0,777.0,777.0,777.0,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,puf_eval_ms,ms,30,300,10.0,0.042093303,0.008612311,0.001572386,29,2.045,0.038877774,0.045308832,0.042093303,0.011423863,0.036032,0.0329205,0.06539555,0.03217,0.08084,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,fe_rep_ms,ms,30,300,10.0,0.245206643,0.050173572,0.009160399,29,2.045,0.226473627,0.263939659,0.245206643,0.06056573,0.216,0.1936059,0.38198915,0.181075,0.439714,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,mac_ms,ms,30,300,10.0,0.00958037,0.001794168,0.000327569,29,2.045,0.008910492,0.010250248,0.00958037,0.002899606,0.00811,0.007182,0.01506305,0.006982,0.025697,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,kdf_ms,ms,30,300,10.0,0.014029933,0.002901297,0.000529702,29,2.045,0.012946693,0.015113173,0.014029933,0.004787237,0.011651,0.01021745,0.0226875,0.009878,0.050965,two-stage t; unit=run; df=R-1
StadiumSHA3,sha3,10,,,,phase2,dh_ms,ms,30,300,10.0,0.12269653,0.015367611,0.002805729,29,2.045,0.116958814,0.128434246,0.12269653,0.023110038,0.1140465,0.1005455,0.16731015,0.098443,0.306076,two-stage t; unit=run; df=R-1
